title,thumbnail,short_content,write_time,link,company
"금감원, ‘2025 회계현안 설명회’ 개최…감사인 대상 감독 방향 공유",https://img.asiatoday.co.kr/file/2025y/12m/04d/20251204010002153_250.jpg,"금융감독원은 오는 19일 한국공인회계사회와 함께 서울 여의도 금감원 본원에서 '2025년 회계법인·감사반 회계현안 설명회'를 개최한다고 3일 밝혔다. 이번 설명회에서는 외부감사인이 감사업무 과정에서 참고할 수 있도록 내년 회계감독 방향과 심사·감리 업무 현황이 공유된다. 금감원은 올해 심사·감리 결과 조치현황과 시사점을 설명하고, 2025년 재무제표 심사 과정에서 중점적으로 점검할 회계이슈 4가지를 제시할 예정이다.중점 점검 이슈는 △투자자..",,https://www.asiatoday.co.kr/kn/view.php?key=20251204010002153,아시아투데이
"중기부, 브랜드 소상공인 육성사업(TOPS) 팝업스토어 행사 개최",,중소벤처기업부는 5일부터 7일까지 서울 여의도에 있는 IFC몰 노스아트리움에서 '올해의 톱스(TOPS 30개사)' 팝업스토어 행사를 개최할 예정이라고 4일 밝혔다.이번 팝업스토어는 오는 12월 중 개최 예정인 '톱스 어워드(TOPS AWARDS)' 시상식의 사전 붐업(Boom-up) 행사로 톱스 사업 3단계에 진출한 소상공인 30개사의 우수 제품을 선보여 대중적 인지도를 높이고 브랜드 가치를 확산하기 위해 마련했다.톱스 사업은 올해 신규 사업..,,https://www.asiatoday.co.kr/kn/view.php?key=20251203010002076,아시아투데이
"“한전기술 50년, 위대한 성취”…기술 자립 넘어 에너지 리더 목표",https://img.asiatoday.co.kr/file/2025y/12m/03d/20251203010002062_250.jpg,"김태균 한국전력기술 사장은 지난 50년의 역사를 '그 자체로 위대한 성취'라고 표현했다. 그의 말처럼 석유파동의 충격파로 탄생했던 한전기술의 발전은 성공과 영광만이 아닌 부침과 시련을 함께 겪고 이겨낸 시간이었기에 가능했다. 1970년대는 국내 발전 엔지니어링 산업의 성장이 더디게 진행되던 시기였다. 1975년 원자력 기술 입국을 위해 출발한 KABAR가 한국원자력기술주식회사로 거듭난 후, 한국전력이 주식을 인수하면서 1982년 한국전력기술주..",,https://www.asiatoday.co.kr/kn/view.php?key=20251203010002062,아시아투데이
"복지 사각지대 찾는 한전기술, 지역사회 든든한 후원자",https://img.asiatoday.co.kr/file/2025y/12m/03d/20251203010001978_250.jpg,"경북혁신도시로 이전한 지 10년, 한국전력기술의 사회공헌은 단순 기부를 넘어 '지역 문제 해결형' 모델로 진화하고 있다. 에너지 기술 공기업이라는 업(業)의 특성을 살려 전기 안전, 취약계층 돌봄, 전통시장 활성화, 교육 지원 등 지역의 복지 사각지대에 직접 개입하며 지역 현안 해결에 나서는 것이다. 한전기술의 사회공헌은 인구 감소와 구도심 공동화, 취약계층 증가 등 지역이 마주한 구조적 문제를 공기업이 어떻게 보완할 수 있는지 보여주는 대표..",,https://www.asiatoday.co.kr/kn/view.php?key=20251203010001978,아시아투데이
"AI 미래전략 짜는 한전기술, 전사 AX 체계 구축 나선다",https://img.asiatoday.co.kr/file/2025y/12m/03d/20251203010001646_250.jpg,"한국전력기술은 인공지능(AI) 적용을 넘어 전사 차원의 '인공지능대전환(AX)' 전략 실행에도 속도를 내고 있다. 이를 위해 최근 중장기 방향과 단계별 실행 로드맵을 담은 'AX 추진전략 로드맵'을 마련했다. 한전기술이 제시한 AX 비전은 'AX 기반 전사 혁신을 통한 지속가능한 글로벌 기술리더 성장'이다. 이를 달성하기 위해 설계품질 제고, 업무 효율 개선, 기술 경쟁력 확보 등 세 가지 지향점을 설정했고 총 29개 실행과제를 단계적으로 추..",,https://www.asiatoday.co.kr/kn/view.php?key=20251203010001646,아시아투데이
[백운산 오늘의 운세] 2025년 12월 4일,https://img.asiatoday.co.kr/file/2025y/10m/27d/20251027001433054_1761543345_1.jpg,쥐띠36년 주변에서 존경을 가득 받는 하루다. 48년 꽉 막혔던 운기 점점 열려진다.60년 매매로 인해 얼굴이 밝아진다.72년 목표 달성하기에 최선을 다해야 한다. 84년 좋은 인연과 함께하니 운수대통한다.96년 만나기 힘든 사람 만나니 기쁘다.소띠37년 어려움을 극복 더 좋은 일 생긴다. 49년 지인들이 나타나 급한 것 도와준다.61년 힘들 때 귀인이 나타나 도움을 받는다.73년 성심성의껏 최선을 다해야 한다.85년 어떠한 일이..,,https://www.asiatoday.co.kr/kn/view.php?key=20251027001433054,아시아투데이
"미국, 한국산 車·부품 관세 15% 관보 게재… 11월 1일부터 소급 적용",https://img.asiatoday.co.kr/file/2025y/12m/04d/20251204010002223_250.jpg,"한국산 자동차와 그 부품에 대한 미국의 관세가 15%로 확정돼 11월 1일 0시 1분(미국 동부시간) 기준으로 소급 적용된다.미국 연방 정부는 3일 온라인 관보에 이 같은 내용을 사전 게재했다. 발효는 공식 게재일인 4일이다. 한국에 대한 국가별 관세(상호관세)를 종전 25%에서 15%로 인하하는 내용도 관보에 포함됐다. 항공기와 그 부품, 원목과 목재 및 목제품에 대한 관세는 11월 14일 0시 1분부터 소급 인하된다. 항공기와 그 부품의..",,https://www.asiatoday.co.kr/kn/view.php?key=20251204010002223,아시아투데이
왕이 中 외교부장 佛에 대만 관련 자국 지지 촉구,https://img.asiatoday.co.kr/file/2025y/12m/04d/20251204010002222_250.jpg,왕이(王毅) 중국 당 중앙정치국 위원 겸 외교부장(장관·중앙외사공작위원회 판공실 주임 겸임)은 3일 프랑스 외무장관에게 대만 문제와 관련한 중국의 입장을 지지해 줄 것을 촉구했다. 또 양국이 소통과 협력을 강화해야 한다고도 강조했다. 양국 관계에 정통한 베이징 외교 소식통들의 4일 전언에 따르면 왕 위원 겸 부장은 전날 에마뉘엘 마크롱 프랑스 대통령의 중국 국빈 방문에 동행한 장 노엘 바로 외무장관을 만나 일본의 대만 관련 발언에 대한 중국의..,,https://www.asiatoday.co.kr/kn/view.php?key=20251204010002222,아시아투데이
"美 국무부 부차관보 “확장억제·대북 비핵화·인도·태평양 협력, 한미동맹 3대 축”",https://img.asiatoday.co.kr/file/2025y/12m/04d/20251204010002221_250.jpg,"조나단 프리츠 미국 국무부 선임 부차관보는 3일(현지시간) 철통같은 한미동맹의 3가지 핵심 분야로 확장억제(핵우산), 북한의 완전한 비핵화 추구, 인도·태평양 지역 문제 협력을 제시했다.프리츠 부차관보는 이날 미국 워싱턴 D.C.의 전략국제문제연구소(CSIS)에서 한국국제교류재단(KF)과 CSIS가 공동 주최한 '한·미 전략 포럼' 기조연설에서 ""한미동맹의 토대는 그 어느 때보다 강력하며, 3개의 핵심 분야에서 매우 가시적인 연속성이 존재한다..",,https://www.asiatoday.co.kr/kn/view.php?key=20251204010002221,아시아투데이
'내란재판부·법왜곡죄' 與 주도로 법사위 통과…이달 본회의서 처리 예고,https://img.asiatoday.co.kr/file/2025y/12m/04d/20251204010002216_250.jpg,"'내란전담재판부'(내란특별재판부) 설치법이 국회 법제사법위원회 전체회의를 통과했다. 또 판검사가 재판 또는 수사 과정에서 법을 고의로 왜곡하거나 사실관계를 조작한 경우 이를 처벌할 수 있는 법왜곡죄 신설법(형법 개정안), 고위공직자범죄수사처의 수사 범위를 확대한 공수처법 개정안도 각각 법사위에서 의결됐다.4일 정치권에 따르면 법사위는 3일 전체회의에서 더불어민주당 주도로 이들 법안을 의결했다. 국민의힘은 법안 표결에 강하게 반대했고 의결 직전..",,https://www.asiatoday.co.kr/kn/view.php?key=20251204010002216,아시아투데이
