title,thumbnail,short_content,write_time,link,company
"미래에셋, 고객자산 1000조…박현주 ""10년 뒤 7000조 도전""",https://cdn.ebn.co.kr/news/thumbnail/202510/1681092_698471_4511_v150.jpg,박현주 미래에셋그룹 회장이 1일 고객자산(AUM) 1000조원 돌파를 기념하며 10년 뒤 운용자산 7000조원 달성을 목표로 제시했다.박 회장은 이날 서울 여의도에서 열린 기념행사에서 “현재의 성장 속도가 이어진다면 10년 뒤 운용자산이 7000조원에 이를 것”이라며 “과거의 성과에 머무르지 않고 디지털 금융 혁신을 통해 글로벌 금융 시장을 선도하겠다”고 강조했다.올해 9월 말 기준 미래에셋그룹의 AUM은 1055조원으로 집계됐다. 1997년 자본금 100억원으로 출발한 지 28년 만에 달성한 기록이다. 특히 지난해 말 906조60,10-01 22:45,https://www.ebn.co.kr/news/articleView.html?idxno=1681092,EBN
"금융위, 회계 위반 기업에 과징금 17억원…'숲·세진·신기테크' 중징계",https://cdn.ebn.co.kr/news/thumbnail/202510/1681063_698437_3023_v150.jpg,"금융위원회가 재무제표를 고의적으로 왜곡 공시한 상장사 3곳과 회사 관계자에 대해 총 17억원 규모의 과징금을 부과했다. 회계 투명성을 저해하고 외부감사를 방해한 기업에 대해 강도 높은 제재를 통해 자본시장 신뢰 회복에 나선 것이다.금융위는 1일 제17차 정례회의에서 △㈜숲(옛 아프리카티비) △㈜세진 △㈜신기테크의 회계처리 위반을 적발하고 과징금 부과를 의결했다. 이들 3개사에는 회사 및 임원 개인을 합쳐 총 17억원의 과징금이 내려졌으며, 감사인 지정 조치도 병행됐다.가장 높은 과징금을 받은 곳은 숲이다. 숲은 게임 콘텐츠 광고와",10-01 17:30,https://www.ebn.co.kr/news/articleView.html?idxno=1681063,EBN
"""비대면 금융사기, 예방이 최선""…금감원 '8대 보안서비스' 가동",https://cdn.ebn.co.kr/news/thumbnail/202510/1681060_698432_1213_v150.jpg,"금융감독원이 1일 보이스피싱과 명의도용 등 비대면 금융사기 피해를 막기 위해 금융소비자가 직접 신청해 활용할 수 있는 8대 보안서비스를 공개했다.계좌 개설부터 이체, 대출까지 금융거래의 주요 단계에서 사전에 차단 장치를 마련해 피해를 원천 봉쇄한다는 방침이다.이번 대책의 핵심은 ‘안심차단’ 서비스다. 소비자가 계좌개설 안심차단 또는 여신거래 안심차단을 신청하면, 정보가 한국신용정보원을 통해 등록돼 모든 금융회사의 비대면 신규 계좌 개설과 대출 실행이 일괄 차단된다.명의도용으로 계좌가 개설되거나 대출이 실행되는 것을 원천적으로 막을",10-01 17:14,https://www.ebn.co.kr/news/articleView.html?idxno=1681060,EBN
"[은행 & NOW] 신용보증기금, 안전경영 우수기업 지원 활성화 등",https://cdn.ebn.co.kr/news/thumbnail/202510/1681048_698417_286_v150.jpg,"신용보증기금, 안전경영 우수기업 지원 활성화신용보증기금은 한국산업안전보건공단, 기업은행, 기술보증기금과 안전경영활동 우수기업 지원 활성화를 위한 업무협약을 체결했다고 1일 밝혔다.이번 협약에 따라 신보는 안전경영활동 우수기업을 대상으로 사업자금 보증, 컨설팅, 기술이전·사업화 등을 우대 지원하고 한국산업안전보건공단의 재해예방 등 안전의식 고취를 위한 ESG 활동에 협력할 계획이다.최원목 신보 이사장은 “중소기업의 안전관리 역량 강화를 뒷받침해 근로자가 안심하고 행복하게 일할 수 있는 일터가 조성될 수 있도록 최선을 다하겠다”고 말했",10-01 17:01,https://www.ebn.co.kr/news/articleView.html?idxno=1681048,EBN
"OK배정장학재단, '2025 하반기 OK배정장학생 워크숍' 개최",https://cdn.ebn.co.kr/news/thumbnail/202510/1681057_698429_5622_v150.jpg,"OK저축은행, OK캐피탈 등 OK금융그룹 계열사들이 출연한 OK배정장학재단은 ‘2025 하반기 OK배정장학생 워크숍’을 개최했다고 1일 밝혔다.배정장학생으로서 자긍심을 고취하고 장학생 선후배 간 교류를 활성화하고자 마련된 이번 워크숍에는 새롭게 선발된 15기 OK배정장학생과 1~14기 역대 장학생 등 126명이 참여했다.이번 행사에서는 올해 하반기 새롭게 합류한 15기 장학생들에게 장학증서가 전달됐다. 15기 OK배정장학생은 향후 졸업 시까지 국내 최대 규모의 생활비 장학프로그램인 ‘OK배정장학금’을 통해 매월 최대 200만원의 장",10-01 17:01,https://www.ebn.co.kr/news/articleView.html?idxno=1681057,EBN
"금융위, 고난도 투자상품 불완전판매 차단…""KPI까지 손본다""",https://cdn.ebn.co.kr/news/thumbnail/202510/1681050_698418_2858_v150.jpg,"금융위원회가 고난도 금융투자상품의 불완전판매를 막기 위해 감독규정을 대폭 손질했다. 금융소비자 보호 강화를 위한 이번 조치는 내년 1월 1일부터 시행된다.1일 금융위에 따르면 이번 개정은 지난 2월 27일 발표된 ‘고난도 금융투자상품 불완전판매 예방 종합대책’의 후속조치로 마련됐다. 금융위는 이날 정례회의에서 소비자가 고난도 금융투자상품에 가입할 때 위험성을 충분히 인지하도록 설명 절차를 강화하고, 금융회사의 부당권유행위를 엄격히 차단하는 데 초점을 맞췄다.우선 금융회사는 고난도 금융투자상품을 판매할 때 가장 먼저 소비자에게 해당",10-01 16:29,https://www.ebn.co.kr/news/articleView.html?idxno=1681050,EBN
"""중대재해 숨길 수 없다""…금융위, 공시·평가 기준 손질",https://cdn.ebn.co.kr/news/thumbnail/202510/1681046_698415_247_v150.jpg,"금융위원회가 기업의 중대재해 발생을 ESG 평가와 공시에 직접 반영하도록 제도 개선에 나선다. 중대재해가 기업 가치와 투자 리스크에 미치는 영향이 커진 만큼 투자자 보호를 강화하기 위한 조치다.금융위는 중대재해 발생 시 이를 ESG 평가에 반영하도록 ESG 평가기관 가이던스를 개정·시행한다고 1일 밝혔다. 그동안 국내 ESG 평가기관은 자율적으로 중대재해 등 사회적 논란 이슈를 반영해 왔지만, 이번 개정으로 이를 명문화해 관리의 일관성과 투명성을 높였다.또한 ESG 평가기관의 평가 품질과 전문성을 높이기 위해 역량 강화 의무를 신설",10-01 16:24,https://www.ebn.co.kr/news/articleView.html?idxno=1681046,EBN
9월 KRX금시장 거래량 급증…국제 시세 대비 가격 괴리 확대,https://cdn.ebn.co.kr/news/thumbnail/202510/1681043_698412_1337_v150.jpg,"9월 한 달간 KRX금시장 가격과 거래량이 모두 급등한 것으로 나타났다. 국제 금 시세와의 가격 괴리도 커지면서 투자자들의 주의가 요구된다.1일 한국거래소에 따르면 9월 KRX금시장의 일평균 가격은 1kg 종목 기준 g당 16만9227원(종가 기준)으로 집계됐다. 이는 같은 기간 국제 금 가격(g당 16만3726원)보다 5500원 이상 높은 수준이다.거래량도 크게 늘었다. 9월 하루 평균 거래량은 약 821kg으로, 올해 일평균 거래량 366kg 대비 두 배 이상 급증했다. 안전자산에 대한 선호가 금 투자로 이어진 결과다.특히 9월",10-01 16:14,https://www.ebn.co.kr/news/articleView.html?idxno=1681043,EBN
韓 외환상품시장 하루 거래액 평균 857억달러,https://cdn.ebn.co.kr/news/thumbnail/202510/1681033_698406_587_v150.jpg,"우리나라 외환상품·장외금리파생상품 시장의 거래 규모가 3년 전보다 20% 넘게 증가한 것으로 나타났다.1일 한국은행이 공개한 '2025년 국제결제은행(BIS) 주관 세계 외환·장외 파생상품 시장조사' 결과에 따르면 지난 4월 기준 한국 외환상품시장 하루 평균 거래액은 직전 조사 시점(2022년 4월)보다 26.5% 늘어난 857억2000만달러를 기록했다.전체 세계 외환상품시장(일평균 12조5700억달러)에서 차지하는 비중은 0.7%로 3년 전과 동일했으나, 순위는 15위에서 14위로 한 단계 올랐다.우리나라 장외 금리파생상품시장 거",10-01 16:00,https://www.ebn.co.kr/news/articleView.html?idxno=1681033,EBN
"코스피, 美정부 셧다운에도 3450대 반등…코스닥 0.4%↑",https://cdn.ebn.co.kr/news/thumbnail/202510/1681027_698394_4139_v150.jpg,"코스피가 외국인과 기관의 매수세에 3450대를 회복했다.1일 한국거래소에 따르면 코스피 지수는 전일 대비 31.23p(0.91%) 상승한 3455.83에 거래를 마쳤다.지수는 전일 대비 19.46p(0.57%) 오른 3444.06으로 출발해 강세 흐름을 이어갔다.개인이 1조853억원을 순매도했으나 외국인과 기관이 각각 8459억원, 2200억원을 순매수하면서 지수를 밀어올렸다.코스피 시가총액 상위 10개 종목 중에서는 한화에어로스페이스(-0.72%)만 하락했다. LG에너지솔루션은 전일 종가와 같은 가격에 거래를 마쳤다.SK하이닉스(",10-01 15:42,https://www.ebn.co.kr/news/articleView.html?idxno=1681027,EBN
"증권업계, 추석 연휴에도 해외주식 데스크 24시간 운영",https://cdn.ebn.co.kr/news/thumbnail/202510/1681023_698389_3115_v150.jpg,"증권업계가 추석 연휴 기간에도 고객의 해외주식 거래 편의를 위해 24시간 해외 주식 데스크를 정상 운영한다. 국내 지점이 휴무인 상황에서도 글로벌 시장 변동성에 실시간으로 대응할 수 있도록 전문 인력을 배치해 고객 지원에 만전을 기할 계획이다.1일 금융투자업계에 따르면 하나증권은 연휴 기간 중 21개국 주식 거래를 지원하며, 휴장일을 제외한 국가의 거래는 모두 정상 진행한다. 중국 증시는 국내와 동일하게 휴장하며, 대만과 홍콩 증시는 각각 10월 6일, 7일 휴장이다. 하나증권은 데스크를 24시간 운영해 온·오프라인 거래에 불편이",10-01 15:32,https://www.ebn.co.kr/news/articleView.html?idxno=1681023,EBN
"[카드 & NOW] 삼성카드, JCB 브랜드 삼성카드 4종 출시 등",https://cdn.ebn.co.kr/news/thumbnail/202510/1681021_698387_284_v150.jpg,"삼성카드, JCB 브랜드 삼성카드 4종 출시삼성카드는 일본의 글로벌 결제 브랜드사인 JCB와 제휴를 맺고, JCB 브랜드로 발급 가능한 삼성카드 4종을 출시했다고 1일 밝혔다.일본정부관광국에 따르면 2025년 상반기에 일본을 찾은 외국인은 2152만명을 기록하였으며, 이 중 한국인은 478만명으로 가장 많은 비중을 차지했다.삼성카드는 날로 증가하는 일본 여행·출장 수요에 맞춰, 일본에서의 원활한 카드 결제를 지원하고 브랜드사가 제공하는 혜택도 제공하기 위해 JCB 브랜드로 발급 가능한 삼성카드 4종을 출시했다.이날 현재 기준, JC",10-01 15:29,https://www.ebn.co.kr/news/articleView.html?idxno=1681021,EBN
