title,thumbnail,short_content,write_time,link,company
[단독] “국립예술단체 통합 타당성 낮다” 문체부 보고서… 유인촌 장관 1기 때 작성,https://image.kmib.co.kr/online_image/2025/0304/2025030323092766458_1741010967_0027822357.jpg,"문화체육관광부가 추진하는 국립예술단체 통합에 대해 유인촌 장관 1기 때인 2011년 진행한 연구에서 타당성이 낮다고 분석한 것으로 드러났다. 또한, 통합이 조직에 중대한 변화를 초래하는 만큼 통합을 추진한다면 시간과 비",2025-03-04 06:00,https://www.kmib.co.kr/article/view.asp?arcid=0027822357&code=61171211&sid1=all,국민일보
오늘의 날씨 - 오전 (2025년 03월 04일),https://image.kmib.co.kr/online_image/2025/0304/2025030405312866475_1741033888_0027822801.jpg,"3월 4일 화요일, 아침 날씨입니다. 이 시각 현재 강한 바람이 부는 곳이 있습니다. 아침 최저기온은 서울 0.0도, 인천 -1.0도, 수원 -1.0도, 춘천 -3.0도, 강릉 1.0도, 청주 0.0도, 대전 0.0도, 전주 2.0도, 광주 1.0도,",2025-03-04 05:32,https://www.kmib.co.kr/article/view.asp?arcid=0027822801&code=61121611&sid1=all,국민일보
사회적 안전망 ‘거미줄 연결’했더니… 日 아키타현 자살 감소율 1위,https://image.kmib.co.kr/online_image/2025/0304/2025030320500866326_1741002608_1740974336.jpg,한국과 일본은 청소년 자살 문제가 심각한 사회 문제라는 공통점이 있다. 여성가족부와 한국청소년정책연구원이 발표한 ‘2024 청소년 통계’에 따르면 한국 청소년(9~24세)의 사망 원인 1위는 자살이다. 2011년부터 부동의 1위를,2025-03-04 03:09,https://www.kmib.co.kr/article/view.asp?arcid=1740974336&code=23111111&sid1=all,국민일보
[오늘의 설교] 요셉이 아닌 맛디아를 선택하신 이유,https://image.kmib.co.kr/online_image/2025/0304/2025030322010566416_1741006865_1740898664.jpg,사역을 하다 보면 복된 사역이 짐이 되고 시험이 되는 경우가 종종 있습니다. ‘번아웃’되는 성도들이 생기는 것입니다. 그럴 때면 하나님이 나를 이용만 하는 것 같이 느껴질 때가 있습니다. 하지만 사람은 그럴 수 있을지 모르,2025-03-04 03:09,https://www.kmib.co.kr/article/view.asp?arcid=1740898664&code=23111515&sid1=all,국민일보
[소강석 목사의 詩로 쓰는 성경 인물] <31> 베드로,https://image.kmib.co.kr/online_image/2025/0304/2025030320460466311_1741002364_1741002344.jpg,게네사렛 호숫가에서 텅 빈 그물을 씻고 있을 때 붉은 새벽빛 사이로 걸어오시던 당신 사람을 낚는 어부가 되리라는 부르심에 거친 파도처럼 뛰던 심장 박동소리 헐몬산에 초막 셋을 짓고 머물고 싶었던 애상(愛賞) 당,2025-03-04 03:08,https://www.kmib.co.kr/article/view.asp?arcid=1741002344&code=23111311&sid1=all,국민일보
‘거룩한 습관’ 가정예배로부터… 부모·자녀 함께 ‘눈높이 교제’,https://image.kmib.co.kr/online_image/2025/0304/2025030320560566341_1741002965_1740899842.jpg,"지난 1일 오후 7시, 경기도 하남 덕산로에 거주하는 김성수 윤향숙(44) 집사 부부가 아들 수호(7)군과 함께 거실 테이블에 둘러앉았다. 올해 들어 수호네 가족의 새로운 습관으로 자리 잡은 토요 가정예배를 위해서다. 세 사람",2025-03-04 03:08,https://www.kmib.co.kr/article/view.asp?arcid=1740899842&code=23111111&sid1=all,국민일보
[가정예배 365-3월 4일] 온유한 것은 왜 복일까,https://image.kmib.co.kr/online_image/2025/0304/2020031521050566420_1584273905_1740895196.jpg,찬송 : ‘구주와 함께 나 죽었으니’ 407장(통465) 신앙고백 : 사도신경 본문 : 마태복음 5장 5절 말씀 : 예수님은 팔복을 통해 참된 복이 무엇인지 가르쳐 주셨습니다. 그중 세 번째 복은 “온유한 자는 복이 있나니 그,2025-03-04 03:08,https://www.kmib.co.kr/article/view.asp?arcid=1740895196&code=23111511&sid1=all,국민일보
사촌이 땅을 사면 배가 아프다?,https://image.kmib.co.kr/online_image/2025/0304/2025030320470566317_1741002425_1740897461.jpg,"‘사촌이 땅을 사면 배가 아프다’는 말이 있다. 질투하는 심리가 물리적인 통증을 일으켰다는 뜻이다. 육체는 정신의 영향을 받고, 정신 또한 육체의 상태에 따라 변화한다. 현대 의학은 이러한 연결성을 탐구하며 ‘사이코소매",2025-03-04 03:07,https://www.kmib.co.kr/article/view.asp?arcid=1740897461&code=23111413&sid1=all,국민일보
[역경의 열매] 백종만 (3) 내가 힘들 때마다 항상 빛으로 나타나 주신 하나님,https://image.kmib.co.kr/online_image/2025/0304/2025030321560566412_1741006565_1740895237.jpg,아버지가 나를 마중 나오신 날은 그날이 처음이었다. 해는 지고 비까지 내려 깜깜한데 그날따라 아들의 귀가가 늦어지니 그 무뚝뚝한 아버지가 호롱불을 들고나오신 거였다. 그토록 무섭던 아버지가 이렇게 반가울 줄이야. 아버지,2025-03-04 03:07,https://www.kmib.co.kr/article/view.asp?arcid=1740895237&code=23111513&sid1=all,국민일보
탄자니아에 스와힐리어 성경 5600부 기증,https://image.kmib.co.kr/online_image/2025/0304/2025030320570366344_1741003023_1740984563.jpg,대한성서공회(이사장 김경원 목사)는 김중곤(88) 혜성교회 장로와 아내 민명자(84) 권사가 탄자니아에 스와힐리어 성경 5600부를 기증(사진)했다고 최근 밝혔다. 김 장로는 지난달 24일 서울 서초구 본부에서 ‘탄자니아 스와,2025-03-04 03:06,https://www.kmib.co.kr/article/view.asp?arcid=1740984563&code=23111111&sid1=all,국민일보
[오늘의 QT] 성령이 오셔서 하시는 일,https://image.kmib.co.kr/online_image/2025/0304/2020031318340464956_1584092044_1740982701.jpg,성령이 오셔서 하시는 일 그가 내게 이르시되 인자야 네 발로 일어서라 내가 네게 말하리라 하시며 그가 내게 말씀하실 때에 그 영이 내게 임하사 나를 일으켜 내 발로 세우시기로 내가 그 말씀하시는 자의 소리를 들으니.(겔,2025-03-04 03:06,https://www.kmib.co.kr/article/view.asp?arcid=1740982701&code=23111514&sid1=all,국민일보
"교회 형·누나가 교사로… 아이 돌봄, 작은 교회도 할 수 있다",https://image.kmib.co.kr/online_image/2025/0304/2025030320530366334_1741002783_1740905397.jpg,오산비전교회(김남희 목사)는 오래된 주택들이 밀집한 경기도 오산의 구시가지 궐동에 있다. 한적하고 조용한 2차선 도로 옆에 있는 교회는 다음세대 아이들의 웃음소리로 활기가 넘친다. 성도 100여명의 작은 교회이지만 아이들,2025-03-04 03:06,https://www.kmib.co.kr/article/view.asp?arcid=1740905397&code=23111652&sid1=all,국민일보
"저항의 달… 기독교인 주도한 3·1운동, 교회 피해도 커",https://image.kmib.co.kr/online_image/2025/0304/2025030321540466409_1741006444_1740902354.jpg,1919년 3월 1일 만세운동에 한국교회와 교인들이 대거 참여했다. 그 결과 교회는 일제의 탄압에 큰 피해를 입었다. 이날 민족대표 33인은 태화관에서 독립선언 후 출동한 경찰에 자진 체포됐다. 시위는 기독교와 천도교가 강한 지,2025-03-04 03:06,https://www.kmib.co.kr/article/view.asp?arcid=1740902354&code=23111111&sid1=all,국민일보
“두 선교사 밀알 돼 마다가스카르에 복음의 꽃 피우길”,https://image.kmib.co.kr/online_image/2025/0304/2025030321500466404_1741006204_1740990483.jpg,"“선교사님, 얼마나 힘드셨어요. 하나님의 위로가 함께하시길.” 최근 아프리카 마다가스카르에서 의료와 농업 선교에 헌신하던 김창열(88) 이리문(58) 선교사가 강도의 습격으로 사망했다는 소식을 전한 뉴스에 달린 이 댓글엔 1",2025-03-04 03:05,https://www.kmib.co.kr/article/view.asp?arcid=1740990483&code=23111111&sid1=all,국민일보
[미션 톡!] 함께했던 ‘선교 100주년’… 140주년은 따로 기념?,https://image.kmib.co.kr/online_image/2025/0304/2025030320560366339_1741002963_1740987300.jpg,"140년 전인 1885년 4월, 미국 장로교와 감리교가 파송한 호러스 G 언더우드와 헨리 G 아펜젤러 선교사가 지금의 인천인 제물포에 첫발을 디뎠습니다. 이를 기념해 주요 교단과 교회연합 단체는 다음 달 20일 부활주일을 전후해",2025-03-04 03:05,https://www.kmib.co.kr/article/view.asp?arcid=1740987300&code=23111633&sid1=all,국민일보
간미연 “작은교회 찬양 섬기는 요즘 행복해요”,https://image.kmib.co.kr/online_image/2025/0304/2025030321500666406_1741006206_1740984456.jpg,1997년 데뷔한 1세대 걸그룹 베이비복스로 활동한 간미연(43)은 요즘 제2의 전성기를 누리고 있다. 지난해 연말 베이비복스가 완전체로 모여 성공적으로 무대를 마치고 지난 1월 말 멤버들과 지상파 인기 예능 방송에 출연했다. 2,2025-03-04 03:04,https://www.kmib.co.kr/article/view.asp?arcid=1740984456&code=23111321&sid1=all,국민일보
[겨자씨] 존중과 배려의 향기,https://image.kmib.co.kr/online_image/2025/0304/2025030320510466331_1741002664_1740983659.jpg,며칠 전 10년 가까이 한 보험사에 들었던 자동차보험을 다른 보험사로 옮겼다. 나를 담당했던 보험설계사 K씨에게 미안했다. 얼굴 한 번 본 적이 없지만 그분은 항상 전화로 친절하고 정확하게 내 일을 도와주었다. 한번은 사고,2025-03-04 03:04,https://www.kmib.co.kr/article/view.asp?arcid=1740983659&code=23111512&sid1=all,국민일보
[김양재 목사의 후한 선물] 그럼에도 살아냅시다,https://image.kmib.co.kr/online_image/2025/0304/2024120220120773354_1733137927_1740985881.jpg,‘그럼에도’라는 말에는 놀라운 역설이 담겨 있다. 패배가 확실한 상황 속에 감춰진 역전의 가능성과 함께 절망의 순간 속에 뿌려진 희망의 씨앗을 보여준다. 세상의 논리는 ‘실패 때문에 끝났다’고 단정한다. 하지만 하나님,2025-03-04 03:03,https://www.kmib.co.kr/article/view.asp?arcid=1740985881&code=23111111&sid1=all,국민일보
“작지만 거룩한 습관 통해 일상을 바꾸세요”,https://image.kmib.co.kr/online_image/2025/0304/2025030321460466399_1741005964_1740986865.jpg,"일터의 분주함에 찌들어 퇴근 후엔 탈진하듯 쓰러져 있기 바쁜 부모, 쉴 틈 없이 채워진 학원 일정에 번아웃을 겪는 자녀들, 한 공간에 모여 있어도 시선은 스마트폰에 고정된 가족, 멈춰버린 대화 속에 멀어지는 관계. 오늘을 살",2025-03-04 03:02,https://www.kmib.co.kr/article/view.asp?arcid=1740986865&code=23111111&sid1=all,국민일보
교인 10명 중 2명 “가족·지인 이단에 빠진 적 있다”,https://image.kmib.co.kr/online_image/2025/0304/2025030320500566323_1741002605_1740984952.jpg,시작은 사소했다. 성도들의 기도 제목을 공유했는데 ‘이단 단체’ 관련 이야기가 조금씩 들려왔다. 구체적 피해 사례가 보고된 적은 없었지만 교회 내부에서 이단 관련 고민을 가진 이가 적지 않다는 사실이 확인됐다. 이단·,2025-03-04 03:02,https://www.kmib.co.kr/article/view.asp?arcid=1740984952&code=23111111&sid1=all,국민일보
“우크라 핏빛 눈물 닦아주자”… 교육·의료·치유 사역 시동,https://image.kmib.co.kr/online_image/2025/0304/2025030321450366396_1741005903_1740989196.jpg,"러시아의 침공으로 전쟁이 시작된 지 3년, 우크라이나인들은 심리적 트라우마와 구호물품 부족 등 어려움을 겪고 있다. 전쟁으로 인한 삶의 피폐함은 여전하지만 우크라이나 구호에 관한 세계인의 관심은 현저히 낮아졌다. 절망스러",2025-03-04 03:01,https://www.kmib.co.kr/article/view.asp?arcid=1740989196&code=23111111&sid1=all,국민일보
관세전쟁에 교역량 급감 우려… 해운업계 운임 ‘뚝뚝’,https://image.kmib.co.kr/online_image/2025/0304/2025030321360466387_1741005364_1740989531.jpg,해상운임이 7주 연속 하락했다. 도널드 트럼프 미국 대통령의 관세 부과 정책 여파로 물동량이 줄어들 가능성이 커져서다. 해운업계는 사업 다각화 등 대응 전략을 모색하고 있다. 3일 해운업계에 따르면 세계 해상운송항로의,2025-03-04 02:35,https://www.kmib.co.kr/article/view.asp?arcid=1740989531&code=11151400&sid1=all,국민일보
