title,thumbnail,short_content,write_time,link,company
“빼앗긴 자리 되찾을 때까지 외칠 겁니다”,https://img.khan.co.kr/news/c/190x140/2025/02/14/l_2025021401000395700041521.jpg,"사측, 코로나19 때 강제 전환배치희망퇴직 거부한 12명 해고 조치사업장 정상화됐지만 복직 거부엄동설한 속 3년째 ‘절박한 싸움’20여년 경력의 호텔 요리사가 흰 주방장 모자가 아닌 빨간 띠를 머리에 두른 채 고공농성을 시작했다.고진수 민주노총 서비스연맹 관광레저산업노조 세종호텔 지부장(52)의 이야기다. 고 지부장은 13일 오전 5시, 왕복 6차선 도로 한가운데 놓인 10ｍ 높이 철제 구조물(지하차로 진입차단 시설)을 올랐다.도로 바로 옆 서울 중구 세종호텔은 고 지부장이 2001년부터 20년간 출퇴근한 일터다. 그는 2021년 정리해고된 후 동료들과 함께 3년 넘게 복직 투쟁을 해왔다. 호텔은 응답하지 않았다. 고 지부장은 이날 영하 5도의 날씨에 운신할 공간이 1㎡도 되지 않는 고공에 올라 ‘복직’을 외쳤다.세종호텔은 코로나19가 극심하던 2021년 8월 경영이 악화했다며 노동자 대표들과 ‘구조조정 협의체’를 꾸려 전환배...",25분 전,https://www.khan.co.kr/article/202502140600045,경향신문
집까지 ‘당근’ 하다가 ‘채찍’ 맞을라,https://img.khan.co.kr/news/c/190x140/2025/02/14/l_2025021401000392300042361.jpg,"국토부, 허위매물 피해 방지 대책 실명인증 등 ‘가이드라인’ 배포당근마켓은 ‘집주인 인증’ 도입대학생이 된 딸의 자취방을 알아보던 A씨(49)는 ‘요즘 중고거래 플랫폼을 통해서도 원룸을 많이 알아본다’는 딸의 말에 ‘당근마켓’을 검색했다가 이내 포기했다. A씨는 “공인중개사를 거쳐도 전세사기가 판을 치는 세상에 어떻게 ‘당근’으로 전셋집을 구하겠나 싶었다”고 말했다.국토교통부는 지난해 11월부터 한 달간 당근마켓·복덕빵·번개장터·중고나라 등 직거래 플랫폼에 게시된 부동산 광고를 대상으로 집중 모니터링을 실시한 결과 총 500건의 표본광고 중 20.8%인 104건에서 공인중개사법 위반 의심 광고를 적발했다고 13일 밝혔다.국토부 조사 결과, 공인중개사법 위반 의심 광고 중 90.4%는 직거래를 가장한 무자격자의 불법 중개대상물 광고(광고주체 위반)로 나타났고, 나머지는 공인중개사의 필수사항을 기재하지 않은(명시의무사항 위반) 것이었다....",25분 전,https://www.khan.co.kr/article/202502140600035,경향신문
재난문자 90 → 157자로 늘어난다,https://img.khan.co.kr/news/c/190x140/2025/02/14/l_2025021401000396900041131.jpg,"재난문자 글자 수가 늘어 재난 상황뿐 아니라 대피 방법, 유의사항 등도 문자에 담기게 된다. 같은 내용의 재난문자가 여러 개 전송되는 것을 막는 ‘필터링 기능’도 도입된다.행정안전부는 14일 경찰청, 한국전자통신연구원, 이동통신사 관계자들이 참석한 가운데 재난문자방송 운영협의회를 열고 이런 내용의 개선방안을 논의한다고 13일 밝혔다.현재 최대 90자인 재난문자 글자 수는 157자로 늘어난다. 행안부는 “재난이 발생할 경우 재난문자에 재난 상황을 비롯해 대피 방법, 유의사항 등을 더욱 상세히 안내할 수 있게 된다”고 설명했다. 행안부는 올해 일부 지방자치단체에서 글자 수가 늘어난 재난문자를 시범 운영한 뒤, 내년부터는 전국에 확대 적용하기로 했다고 밝혔다.행안부는 여러 기관이 같은 내용의 재난문자를 보내거나, 같은 문자가 반복해서 발송되지 않도록 올해 3분기까지 필터링 기능을 도입한다고 설명했다. 행안부는 “반복된 재난문자가 국민에게 피로감을...",25분 전,https://www.khan.co.kr/article/202502140600025,경향신문
대왕고래에 등 터진 홍게잡이 어민들 “어떻게 보상받나” 분통,,윤석열 정부의 동해 심해 유전 탐사·개발 사업인 ‘대왕고래 프로젝트’의 사업성이 불투명해지면서 탐사 과정에서 조업 손실을 본 어민 피해 보상도 요원해졌다. 한국석유공사는 어민 피해 규모를 산정하는 용역조사를 진행하기로 했지만 지지부진한 상태다. 13일 경향신문 취재를 종합하면 석유공사·포항시·지역수협 등이 참여하는 용역조사 실행 논의가 지난달 21일 이후 사실상 중단됐다.포항은 국내 홍게 생산량의 60% 이상을 차지한다. 석유공사가 시추작업을 벌인 해역은 수심이 최대 1700m에 달해 홍게가 서식하기 가장 좋은 곳으로 꼽힌다. 시추 지점을 기준으로 반경 20~30㎞ 해역에서 잡는 홍게가 전체 어획량의 최대 50%에 달한다는 게 어민들의 주장이다.포항 지역 어민들은 대왕고래 탐사·시추 과정에서 수십억원 조업 손실을 봤다며 피해 보상을 요구해왔다. 본격적인 홍게잡이 철인 12월부터 이듬해 2월까지 시추작업을 피해달라고 건의도 해봤지만 받아들여지지 않았다. 이에 어민...,25분 전,https://www.khan.co.kr/article/202502140600015,경향신문
"“매번 시민들이 민주주의 구한 것, 민주주의 공고함의 상징”",https://img.khan.co.kr/news/c/190x140/2025/02/14/l_2025021401000388800040841.jpg,"민주주의자는 민주주의를과정과 결과로서 지키지만독재자는 의도로만 앞세워윤 대통령의 비상계엄 사태민주적 절차가 생략돼 버린가짜 민주주의 극명한 사례한국 민주주의 역사를 연구해온 김정인 춘천교대 사회과교육과 교수는 12·3 내란 사태 이후 윤석열 대통령과 국민의힘이 아스팔트 극우에 기대고, 심지어 선동하는 것을 두고 “지금 윤 대통령이나 국민의힘이 보여주는 건 주류에서 밀려나서 비주류·소수화되는 사람들의 행태”라고 말했다.김 교수는 지난 10일 경향신문과 인터뷰하면서 “1987년 민주화 이후 이른바 진보개혁 세력의 역사인식이 주류화·대중화됐다고 생각한다”며 이같이 말했다.김 교수는 “이번 사태로 민주주의가 기로에 선 건 맞지만, 내란 우두머리인 현직 대통령을 체포·구금했다는 것 자체는 민주주의 공고함의 상징”이라고 말했다. 최근 학계 일부에서 우리 사회가 극우 파시즘의 문턱까지 진입한 위기상황이라는 진단이 나오지만, 김 교수는 굳건...",25분 전,https://www.khan.co.kr/article/202502140600005,경향신문
"“학생마다 죽음 이해하는 방식 달라, 회복에 모든 지원해야” 대전 초등생 죽음 이후",https://img.khan.co.kr/news/c/190x140/2025/02/14/news-p.v1.20250213.e8919d0a4125433bb6f16f5b254d22ae_P1.jpeg,"슬픔과 애도는 저마다 독특하다는 것을 기억해 주세요.애도의 슬픔은 때때로 신체적으로 표현될 수 있다는 것을 기억하세요.유독 비탄에 빠지고 힘들어하는 학생들이 있을 수 있습니다.- 책 2023년 11월 출간된 <선생님을 위한 애도 수업> 중 ‘학교에서의 애도에 관한 일반적 지침’에 담긴 내용이다. 한국트라우마스트레스학회 이사장인 김현수 명지병원 정신건강의학과 임상교수와 현직 교사 3명이 함께 썼다. 세월호 참사(2014년), 이태원 참사(2022년) 등을 거치며 학교에서 학생과 교사의 죽음과 애도를 직면해야 했다. <선생님을 위한 애도 수업>은 참사 이후 교사와 학생을 위한 일종의 애도 안내서로 제작됐다.지난 10일 대전의 한 초등학교에서 40대 교사가 김하늘양(8)을 살해한 사건이 발생한 뒤 여러 학생과 교사, 학부모들은 힘든 시간을 보내고 있다. 특히 같은 학교에 다니거나 근무하던 학생·교사의 정서적 고통은 가늠하기 어렵다. 대전교육청은 교원...",25분 전,https://www.khan.co.kr/article/202502140600001,경향신문
"트럼프, 국가별 상호관세 부과 공식 발표…“비관세 장벽도 검토”",https://img.khan.co.kr/news/c/190x140/2025/02/14/news-p.v1.20250214.7ee2eb1753804d2c95d37810766222e4_P1.png,도널드 트럼프 미국 대통령이 13일(현지시간) 상호 관세를 부과하겠다고 공식 발표했다. 유럽연합(EU) 등 미국의 무역적자 비중이 높은 나라들부터 관세와 비관세 장벽 전반을 기준으로 국가 별 관세율을 정한다는 방침도 공개했다.이에 따라 한국은 미국과의 자유무역협정(FTA)으로 대부분 무관세를 적용하고 있음에도 비관세 장벽을 이유로 한 상호관세 부과 대상에서 자유롭지 않게 됐다는 관측이 나온다. 실제로 백악관은 트럼프 대통령이 규정하는 ‘상호주의 교역’에 위배되는 사례로 한국을 콕 집어 거론하기도 했다.트럼프 대통령은 이날 백악관 오벌오피스에서 ‘상호 교역과 관세’ 각서에 서명하고 상무부 장관에게 세계 각국과의 관세율을 새로 검토하도록 지시했다. 하워드 러트닉 상무장관은 “우리는 각 국가별로 일대일로 다룰 것”이라며 4월1일까지 국가별 검토를 완료한 뒤 시행하겠다고 밝혔다.트럼프 대통령은 “우리는 기울어진 운동장이 아닌 평평한 운동장을 원한다”며 “상호관세를 통해 무역 ...,1시간 전,https://www.khan.co.kr/article/202502140504001,경향신문
독일 뮌헨서 차량 돌진으로 최소 28명 부상···“공격 의도 의심”,https://img.khan.co.kr/news/c/190x140/2025/02/13/rcv.YNA.20250213.PEP20250213192001009_P1.jpg,"국제 안보회의가 조만간 열리는 독일 남부 뮌헨 도심에서 13일(현지시간) 자동차 한 대가 군중을 향해 돌진해 20명 이상이 다쳤다고 AFP 통신 등이 보도했다. 운전자는 아프가니스탄 출신 망명 신청자로 확인됐으며, 현지 경찰은 그가 의도를 갖고 돌진한 것으로 보고 있다. 올라프 숄츠 독일 총리는 ‘추방’을 시사했다.보도에 따르면 뮌헨 경찰은 이날 오전 10시30분쯤 미니 쿠퍼 한 대가 군중을 향해 돌진해 최소 28명이 부상을 입었다고 밝혔다. 부상자 중엔 어린이가 포함된 것으로 확인됐다.사건 당시 현장에서는 공공노조 베르디(Ver.di) 소속 노동자들이 시위를 벌이고 있었다. 다만 베르디 소속 노조원이 부상을 입었는지는 즉각 확인되지 않았다.경찰은 현장에서 운전자의 신병을 확보했다. 운전자는 24세 아프가니스탄 출신 망명 신청자로 확인됐다고 AFP 통신은 경찰을 인용해 전했다.마르쿠스 죄더 바이에른주 지사는 운전자가 의도를 갖고 군중을 들이받은 것으로 보인다며 “이...",7시간 전,https://www.khan.co.kr/article/202502132308001,경향신문
"김해 한 초교서 “교사가 학생 폭행” 신고···경찰, 아동학대 여부 조사",https://img.khan.co.kr/news/c/190x140/2025/02/13/news-p.v1.20250213.94d7f4f9ced843d2bf74503faf8e911f_P1.jpg,경남 김해의 한 초등학교 교사가 학생을 폭행했다는 신고가 접수돼 경찰이 수사에 나섰다.13일 교육당국 등에 따르면 이날 오후 김해의 한 초등학교에서 교사 A씨가 학생을 폭행했다는 신고가 경찰에 접수됐다.A씨는 학생에게 청소를 지시하는 과정에서 폭력을 행사한 것으로 전해졌다.학교 측은 A씨와 학생을 즉각 분리 조치했다.교육당국은 폭행을 당했거나 목격한 학생들에게 심리치료 프로그램을 제공하는 방안을 검토 중이다.경찰은 A씨를 대상으로 아동학대 여부 등을 조사할 방침이다.,7시간 전,https://www.khan.co.kr/article/202502132228001,경향신문
‘아시안 프린스’ 차준환 대관식,https://img.khan.co.kr/news/c/190x140/2025/02/13/l_2025021401000423500042521.jpg,"한국남자 피겨 사상 첫 AG 금 프리 187.60점 ‘무결점 연기’“하나도 후회가 없었던 경기” 여자 김채연도 일본에 역전승차준환(24·고려대)이 아시아 정상에 올랐다. 한국 남자 피겨 역사상 첫 금메달이다.차준환은 13일 중국 하얼빈 헤이룽장 빙상훈련센터 다목적홀에서 열린 피겨 남자 싱글 프리스케이팅에서 기술점수(TES) 99.02점, 예술점수(PCS) 88.58점을 합해 총점 187.60점을 받았다. 무결점 연기였다. 그는 쇼트프로그램 94.09점을 합한 최종 총점 281.69점으로 1위에 올랐다.차준환은 전날 쇼트프로그램에서 103.81점으로 1위에 올라 있던 가기야마 유마를 누르고 역전승했다. 9.72점의 격차를 단숨에 뛰어넘었다. 가기야마는 프리에서 실수를 연발하며 168.95점을 받았다. 그는 총점 272.76점으로 최종 2위로 물러났다.한국 남자 피겨 선수가 아시안게임에서 싱글 종목 메달을 딴 것은 이번이 처음이다...",8시간 전,https://www.khan.co.kr/article/202502132224005,경향신문
