title,thumbnail,short_content,write_time,link,company
"[단독] 공수처, 이종섭에 걸려온 800-7070 통신기록 제출 ‘대통령실과 긍정 협의’",https://flexible.img.hani.co.kr/flexible/normal/300/180/imgdb/original/2025/0508/20250508503931.webp,‘채 상병 순직사건’ 외압 의혹을 수사 중인 고위공직자범죄수사처(공수처)가 8일 대통령실 압수수색을 진행하면서 대통령실과 ‘02-800-7070’ 통신 서버 기록을 제출받기 위한 기술적인 협의를 진행하는 데 합의했다. 공수처는 이날 오전 10시30분부터 오후 4시30...,2025-05-08 18:48,https://www.hani.co.kr/arti/society/society_general/1196477.html,한겨레
"“부실하고 파괴적”…국내외 과학자들, 법원에 ‘새만금신공항’ 반대 의견서",https://flexible.img.hani.co.kr/flexible/normal/300/180/imgdb/child/2025/0508/53_17466976250118_20250508503924.webp,“새만금신공항 건설 계획은 제가 지난 50년간 (환경 영향을) 평가해온 수많은 공항 건설 사례 가운데서도 가장 부실하고 파괴적입니다.”세계적인 환경설계학자 랜돌프 T. 헤스터 미국 캘리포니아대 버클리캠퍼스 명예교수가 정부의 ‘새만금신공항 건설계획’에 대해 심각한 우려를...,2025-05-08 18:44,https://www.hani.co.kr/arti/animalpeople/human_animal/1196476.html,한겨레
"유엔개발계획 “한국 성평등 수준, 세계 193개국 중 12위”",https://flexible.img.hani.co.kr/flexible/normal/300/180/imgdb/child/2025/0508/53_17466974187251_20250508503919.webp,한국이 유엔개발계획(UNDP)의 성불평등지수(Gender Inequality Index) 조사에서 193개국 가운데 12위를 차지했다.여성가족부는 8일 한국의 올해 성불평등지수는 0.038점으로 조사 대상 193개국 가운데 성불평등 정도가 12번째로 낮았다고...,2025-05-08 18:41,https://www.hani.co.kr/arti/society/women/1196475.html,한겨레
"[사설] ‘강제 후보 교체’ 나선 국힘, 이러려면 경선은 왜 했나",https://flexible.img.hani.co.kr/flexible/normal/300/180/imgdb/child/2025/0508/53_17466968600937_20250508503903.webp,"대선 후보 단일화를 둘러싼 국민의힘 갈등이 파국으로 치닫고 있다. 중앙선거관리위원회 대선 후보 등록 마감일(11일)이 코앞인데도 김문수 후보와 당 지도부, 한덕수 무소속 예비후보 사이에 싸움이 고조되면서, 누가 국민의힘 최종 후보가 될지 알 수 없는 아수라장이다. 윤석...",2025-05-08 18:33,https://www.hani.co.kr/arti/opinion/editorial/1196474.html,한겨레
이재명 “국힘 탈당 김상욱 귀한 존재…조만간 보면 좋을 것”,https://flexible.img.hani.co.kr/flexible/normal/300/180/imgdb/child/2025/0508/53_17466966256711_20250508503896.webp,이재명 더불어민주당 대통령 후보가 8일 김상욱 의원이 국민의힘 탈당을 선언한 것과 관련해 “우리 국민이나 국가 입장에서 보면 참 안타까운 일”이라며 “아마 앞으로 국민의힘에도 이번 일이 큰 짐이 될 것”이라고 말했다.이 후보는 이날 여의도 중소기업중앙회에서 전국 직능단...,2025-05-08 18:29,https://www.hani.co.kr/arti/politics/politics_general/1196473.html,한겨레
"같은 당 맞나?…김문수, 국힘 상대 대통령 후보자 지위 인정 가처분 신청",https://flexible.img.hani.co.kr/flexible/normal/300/180/imgdb/child/2025/0508/53_17466966096499_20250508503876.webp,국민의힘 대통령선거 후보 단일화를 둘러싼 내부 갈등이 법정 공방으로 번졌다.서울남부지법 민사합의51부(재판장 권성수)는 8일 김 후보를 지지하는 원외 당협위원장들이 국민의힘 상대로 낸 전당대회 개최 금지 가처분 신청 심문을 진행했다. 김 후보 쪽은 이날 “전당대회와 전...,2025-05-08 18:26,https://www.hani.co.kr/arti/society/society_general/1196472.html,한겨레
24명 살아있다더니…네타냐후 “생존 인질 21명…3명은 불확실”,https://flexible.img.hani.co.kr/flexible/normal/300/180/imgdb/child/2025/0508/53_17466961006664_20250508503854.webp,"베냐민 네타냐후 이스라엘 총리가 가자지구에 억류 중인 이스라엘 인질 3명에 대해 생존 여부가 불확실하다고 말했다. 이스라엘은 생존 인질 수를 공식적으로 24명이라고 밝혀왔으나, 이보다 3명이 줄어들 수 있다는 소식에 인질 가족들은 또 동요하고 있다.네타냐후 총리는 7일...",2025-05-08 18:17,https://www.hani.co.kr/arti/international/arabafrica/1196471.html,한겨레
[속보] 한덕수 “당장 단일화” 김문수 “자리 내놔란 거냐”...2차 회동 빈손,https://flexible.img.hani.co.kr/flexible/normal/300/180/imgdb/child/2025/0508/53_17466958024492_20250508503848.webp,"김문수 국민의힘 대통령 후보와 한덕수 무소속 후보의 8일 ‘2차 단일화 회동’이 또다시 빈 손으로 끝났다. 한 후보는 ‘후보 등록 마감일인 11일까지 단일화를 마무리하자’는 입장을 고수했고, 김 후보는 “왜 경선 끝나고 나타나 청구서를 내미냐”고 반발하면서 협상의 접점...",2025-05-08 18:15,https://www.hani.co.kr/arti/politics/politics_general/1196470.html,한겨레
‘소프트파워' 개념 만든 조지프 나이 교수 별세,https://flexible.img.hani.co.kr/flexible/normal/300/180/imgdb/child/2025/0508/53_17466957476691_20250508503845.webp,국제정치에서 군사력과 경제력 등 ‘하드 파워'와 구별되는 ‘소프트 파워'의 개념을 정립한 미국의 국제정치학자 조지프 나이 하버드대 명예석좌교수가 지난 6일(현지시각) 별세했다고 하버드대 교지 하버드 크림슨 등이 전했다. 향년 88.1964년 하버드대 교수로 임용된 고인...,2025-05-08 18:14,https://www.hani.co.kr/arti/international/america/1196469.html,한겨레
5월9일 알림,,◇ 이애주문화재단은 오는 10일 오전 11시 경기도 마석 모란공원 이애주선생 묘역에서 `이애주 선생 4주기 추모 문화제'를 한다. 이애주 춤 사진첩 ‘천명' 헌정례와 이애주 춤 문화상 시상식 등을 한다. (02)504-5387. ◇ 아주대는 8일 연세대 신촌캠퍼스에서 ...,2025-05-08 18:13,https://www.hani.co.kr/arti/society/ngo/1196468.html,한겨레
