title,thumbnail,short_content,write_time,link,company
“참으로 부끄러운 일”…‘지방선거 공천헌금 의혹’ 사과한 정청래,https://static.mk.co.kr/trans_30x13.png,"더불어민주당 정청래 대표는 3일 자당 출신 강선우 의원의 2022년 지방선거 공천 헌금 수수 의혹을 사과하면서 “환부를 도려내고 이번 일을 전화위복의 기회로 삼겠다”고 밝혔다. 정 대표는 페이스북에 “국민과 당원 동지에게 큰 실망과 상처, 분노를 안겨드린데 대해 민주당 대표로서 사과드린다”며 이같이 말했다. 강선우 의원이 2022년 서울시의원 후보에게 1억",방금 전,https://www.mk.co.kr/news/politics/11922236,매일경제
“계엄은 정당했고 간첩은 실존했다” 글에 조회수 100만명·좋아요 1만개?,https://static.mk.co.kr/trans_30x13.png,"카운터스, SNS 극우 선동 상황 공유 “1020, 인스타 학습 공간으로 여겨” 李 대통령 “명백한 가짜뉴스 횡행” 유재성 “조직적 가짜뉴스 수사할것”윤석열 전 대통령이 12·3 비상계엄과 직결된 내란 우두머리 혐의로 재판을 받고 있는 가운데 인스타그램(인스타) 등 SNS에서 극우선동이 여전히 심각한 상황이라는 지적이 나왔다. 3일 X(옛 트위터)의 ‘카운",방금 전,https://www.mk.co.kr/news/politics/11922226,매일경제
“6년 만에 3배 시세 차익”…이혜훈 배우자 영종도 부동산 투기 의혹,https://static.mk.co.kr/trans_30x13.png,이혜훈 기획예산처 장관 후보자의 배우자가 인천국제공항 개항 1년여 전 영종도 일대의 땅을 사서 6년 뒤에 막대한 차익을 남긴 뒤 한국토지공사에 팔았다는 의혹이 제기됐다. 3일 국민의힘 주진우 의원은 자신의 페이스북에 이 후보자의 배우자인 김영세 씨 명의로 된 부동산 등기부 등본을 공개하면서 이같이 밝혔다. 주 의원에 따르면 김 씨는 2000년 1월 18일,방금 전,https://www.mk.co.kr/news/politics/11922198,매일경제
법사위 상원 노릇 언제까지…여야 합의처리 법안 줄줄이 제동,https://static.mk.co.kr/trans_30x13.png,합의처리된 학교 CCTV 설치법 법사위 “인권침해”라며 일방 보류 담배사업법도 한차례 보류했다가 가까스로 문턱 넘어 본회의 의결 PM법도 2023년 법사위서 발목 잇단 사고에 2년만에 재입법 수순국회 법제사법위원회가 상원 역할을 한다는 문제점이 매년 지적돼 온 가운데 올해도 법사위가 타 상임위원회 법안에 대한 체계·자구심사 권한을 넘어 법안 처리와 내용까지,1시간 전,https://www.mk.co.kr/news/politics/11921470,매일경제
"두 달만에 한중정상회담…“중국과 관계, 전면 복원할 것”",https://static.mk.co.kr/trans_30x13.png,"中. 하나의 중국 원칙 준수 요구에 92년 한중수교 후 일관된 입장 밝혀 “한중관계 전면적 복원으로 한반도 문제 돌파구 마련“ 李, 한중 경제협력 일정 예정청와대가 2일 ‘하나의 중국’을 존중한다는 한국 정부 입장을 내놨다. 이재명 대통령의 4~7일 국빈 방중을 앞둔 상황에서 양안 문제와 관련해 중국의 주장을 존중한다고 밝히면서도, 중국이 요구하는 ‘하나",1시간 전,https://www.mk.co.kr/news/politics/11922091,매일경제
방중 앞둔 이 대통령 “하나의 중국 존중…양국 관계 새로운 관계로 도약해야”,https://static.mk.co.kr/trans_30x13.png,이재명 대통령은 2일 “중국의 가장 큰 현안이라고 할 수 있는 대만 문제에 있어서 ‘하나의 중국’을 존중한다는 입장은 변함이 없다”고 밝혔다. 이 대통령은 중국 국빈방문을 앞두고 이날 방송된 중국 중앙TV(CCTV)와의 인터뷰에서 “한중 수교 당시 대한민국 정부와 중국 정부 간 합의된 내용은 여전히 한중 관계를 규정하는 핵심 기준으로 유효하다. 저 역시도,3시간 전,https://www.mk.co.kr/news/politics/11922063,매일경제
"李 ""성장전략 대전환 필요…기회 나눠야""",https://static.mk.co.kr/trans_30x13.png,"이재명 대통령이 병오년(丙午年) 새해를 맞아 2일 ""자본 집중과 기회 편중이 성장을 가로막고, 경쟁과 갈등의 악순환으로 이어지는 오늘에는 과감히 기존의 성장 전략을 대전환해야 한다""고 말했다. 이날 이 대통령은 청와대 영빈관에서 처음으로 신년인사회를 열어 이같이 언급했다. 신년인사회에서는 성장·도약과 함께 국민 통합을 위한 메시지를 내놨다. 이 대통령은 ""..",10시간 전,https://www.mk.co.kr/news/politics/11922019,매일경제
"[포토] 李대통령 부부, 5부 요인과 건배",https://static.mk.co.kr/trans_30x13.png,,10시간 전,https://www.mk.co.kr/news/politics/11922018,매일경제
"李대통령 ""하나의 중국 존중…공존·협력해야""",,"이재명 대통령은 2일 양안관계와 관련한 한국의 입장에 대해 ""하나의 중국을 존중한다는 입장은 변함없다""며 ""한국 정부는 한중수교 당시 기본 입장에서 벗어나지 않고 있다""고 말했다. 그러면서 ""한국은 중국의 국익을, 중국은 한국의 국익을 서로 존중하고 서로의 입장을 이해하기 위해서 노력해야 한다""고 했다. 이 대통령이 ""중국이 기술·자본 측면에서 한국을 따라..",10시간 전,https://www.mk.co.kr/news/politics/11922016,매일경제
이재명 대통령 “대만 문제서 ‘하나의 중국’ 존중 변함 없어”,https://static.mk.co.kr/trans_30x13.png,“저 역시도 하나의 중국을 존중한다.” 이재명 대통령이 방중을 이틀 앞두고 진행한 중국 중앙(CC)TV와의 인터뷰에서 이 같이 밝혔다. 이 대통령은 “한중 수교 당시 대한민국 정부와 중국 정부 간 합의된 내용은 여전히 한중 관계를 규정하는 핵심 기준으로 유효하다. 저 역시도 ‘하나의 중국’을 존중한다”고 언급했다. ‘하나의 중국’이란 중국 본토와 대만·홍콩,10시간 전,https://www.mk.co.kr/news/politics/11922008,매일경제
