title,thumbnail,short_content,write_time,link,company
"""고현정 뿌리는 저거 뭐야?"" 고체 미스트 대박…청결에 진심인 '런드리유'",https://thumb.mt.co.kr/04/2025/07/2025070713385961451_1.jpg,코로나19 대유행으로 마스크 착용이 의무화되면서 화장을 잘하지 않는 여성이 늘던 2020년 '피부 방역 코스메틱'이란 독특한 콘셉트의 브랜...,2025.07.09 05:50,https://news.mt.co.kr/mtview.php?no=2025070713385961451&type=2&sec=politics&pDepth2=Ptotal,머니투데이
"""올영 세일 딱 기다려"" 소비쿠폰 들고 우르르?…이번에도 손님 몰릴까",https://thumb.mt.co.kr/04/2025/07/2025070816152631415_1.jpg,소비쿠폰 지급이 코앞으로 다가오면서 유통업계 전반으로 소비 심리가 되살아날 것이란 기대감이 높아지고 있다. 특히 CJ올리브영(이하...,2025.07.09 05:40,https://news.mt.co.kr/mtview.php?no=2025070816152631415&type=2&sec=politics&pDepth2=Ptotal,머니투데이
"자식 같은 회사, 물려줄 자녀 없다면…'제3자' 승계",https://thumb.mt.co.kr/04/2025/07/2025070823161927355_1.jpg,국내 제조 중소기업 3곳 중 1곳은 60세 이상 고령 CEO가 이끌고 있는 것으로 나타났다. 대부분의 중소기업 CEO들은 자녀에게 기업을 ...,2025.07.09 04:25,https://news.mt.co.kr/mtview.php?no=2025070823161927355&type=2&sec=politics&pDepth2=Ptotal,머니투데이
머니투데이 오프라인 헤드라인-9일,,"[종합] 트럼프 첫 타깃된 韓…""8월부터 25%"" '중·반' 못 간 삼성전자, 하반기 반등만 남았다 7월 초인데, 파주·광명 '...",2025.07.09 04:20,https://news.mt.co.kr/mtview.php?no=2025070822200461574&type=2&sec=politics&pDepth2=Ptotal,머니투데이
제조업·에너지 협력 최우선…'방위비 증액' 카드도 꺼내나,https://thumb.mt.co.kr/04/2025/07/2025070823345559797_1.jpg,한미 간 관세 협상이 막판 국면으로 접어들면서 한국 정부가 제시할 수 있는 '마지막 카드'에 관심이 쏠린다. 관세 장벽 완화와 함께 비관...,2025.07.09 04:10,https://news.mt.co.kr/mtview.php?no=2025070823345559797&type=2&sec=politics&pDepth2=Ptotal,머니투데이
美가 원하는 '쌀 소고기 개방·디지털 교역확대' 韓 딜레마,https://thumb.mt.co.kr/04/2025/07/2025070823280942610_1.jpg,"미국이 상호관세 유예 시한을 다음 달 1일까지로 연장하며 약 3주간의 협상 시간을 벌었지만, 한미 양국 간 이견을 좁히기는 쉽지 않다는 ...",2025.07.09 04:05,https://news.mt.co.kr/mtview.php?no=2025070823280942610&type=2&sec=politics&pDepth2=Ptotal,머니투데이
"자정 넘긴 최저임금 논의, 끝내 결렬…'1만210~1만440원' 표결 전망",https://thumb.mt.co.kr/04/2025/07/2025070901213172973_1.jpg,내년도 최저임금 결정을 위한 노사 간 협의가 자정을 넘겨 장시간 이어졌지만 끝내 결론을 내지 못했다. 노사 합의에 최종적으로 실패할 경...,2025.07.09 01:34,https://news.mt.co.kr/mtview.php?no=2025070901213172973&type=2&sec=politics&pDepth2=Ptotal,머니투데이
"내년 최저임금, 1만210~1만440원 중 결정…1.8~4.1% 인상 수준",https://thumb.mt.co.kr/04/2025/07/2025070821411957425_1.jpg,내년 최저임금이 시간당 1만210~1만440원 사이에서 결정될 전망이다. 올해 최저임금인 1만30원 대비 1.8~4.1% 인상된 수준이다. 8일 정부...,2025.07.08 21:46,https://news.mt.co.kr/mtview.php?no=2025070821411957425&type=2&sec=politics&pDepth2=Ptotal,머니투데이
[속보]내년 최저임금 1만210~1만440원 사이…표결로 결정,https://thumb.mt.co.kr/04/2025/07/2025070821321993150_1.jpg,8일 최저임금위원회 ...,2025.07.08 21:34,https://news.mt.co.kr/mtview.php?no=2025070821321993150&type=2&sec=politics&pDepth2=Ptotal,머니투데이
"이형훈 복지차관, 의협·병협·간협과 만나…의협 ""의정 상설 협의체 제안""",https://thumb.mt.co.kr/04/2025/07/2025070819000798911_1.jpg,"이형훈 보건복지부 제2차관이 대한의사협회, 대한병원협회, 대한간호협회 관계자들과 만나며 의료 현장과 소통을 이어나가겠다고 밝혔다. ...",2025.07.08 19:01,https://news.mt.co.kr/mtview.php?no=2025070819000798911&type=2&sec=politics&pDepth2=Ptotal,머니투데이
