title,thumbnail,short_content,write_time,link,company
[날씨] 한여름 더위 계속...주말 남부 또다시 국지성 호우,https://image.ytn.co.kr/general/jpg/2025/0808/202508080647509111_h.jpg,,2025.08.08. 06:47,https://www.ytn.co.kr/_ln/0108_202508080647509111,YTN
'트럼프 관세' 망가지는 미국 경제...뉴욕 혼조 [앵커리포트],https://image.ytn.co.kr/general/jpg/2025/0808/202508080643252660_h.jpg,,2025.08.08. 06:43,https://www.ytn.co.kr/_ln/0104_202508080643252660,YTN
"국제사회 '가자 완전 점령' 반발...""주민 81% 굶주려""",https://image.ytn.co.kr/general/jpg/2025/0808/202508080640433939_h.jpg,,2025.08.08. 06:40,https://www.ytn.co.kr/_ln/0104_202508080640433939,YTN
"미, WTO 체제 종식 선언...""트럼프 무역 정책이 새 무역 질서""",https://image.ytn.co.kr/general/jpg/2025/0808/202508080638353398_h.jpg,,2025.08.08. 06:38,https://www.ytn.co.kr/_ln/0104_202508080638353398,YTN
"네타냐후 ""가자 지구 전체 장악 의향"" 공개 천명",https://www.ytn.co.kr/img/news/default_0104.jpg,,2025.08.08. 06:28,https://www.ytn.co.kr/_ln/0104_202508080628052205,YTN
■ 8월 8일(금) 경제 캘린더,https://image.ytn.co.kr/general/jpg/2025/0808/202508080605000383_h.jpg,,2025.08.08. 06:05,https://www.ytn.co.kr/_ln/0102_202508080605000383,YTN
"미 ""트럼프 임기 내 미국에 반도체 공장 지으면 무관세""",https://image.ytn.co.kr/general/jpg/2025/0808/202508080602122356_h.jpg,,2025.08.08. 06:02,https://www.ytn.co.kr/_ln/0104_202508080602122356,YTN
"뉴욕 유가, 트럼프·푸틴 회담 기대감에 6일째 하락",https://image.ytn.co.kr/general/jpg/2025/0808/202508080600153433_h.jpg,,2025.08.08. 06:00,https://www.ytn.co.kr/_ln/0104_202508080600153433,YTN
미 연준 이사에 미란 백악관 경제자문위원장 지명,https://image.ytn.co.kr/general/jpg/2025/0808/202508080538361177_h.jpg,,2025.08.08. 05:38,https://www.ytn.co.kr/_ln/0104_202508080538361177,YTN
"뉴욕 증시, 상호 관세 발효 첫날 보합권 혼조 마감",https://image.ytn.co.kr/general/jpg/2025/0808/202508080532014618_h.jpg,,2025.08.08. 05:32,https://www.ytn.co.kr/_ln/0104_202508080532014618,YTN
[스포인트] 강백호의 천국과 지옥,https://image.ytn.co.kr/general/jpg/2025/0808/202508080530317562_h.jpg,,2025.08.08. 05:30,https://www.ytn.co.kr/_ln/0107_202508080530317562,YTN
남은 건 대통령 '최종 결단'...정치적 파장에 고심 거듭,https://image.ytn.co.kr/general/jpg/2025/0808/202508080457088760_h.jpg,,2025.08.08. 04:57,https://www.ytn.co.kr/_ln/0101_202508080457088760,YTN
"""자동차 업계, 관세 분기 피해액 16조 원...더 확대""",https://image.ytn.co.kr/general/jpg/2025/0808/202508080446466561_h.jpg,,2025.08.08. 04:46,https://www.ytn.co.kr/_ln/0104_202508080446466561,YTN
세 번째로 더웠던 7월...'기후 재앙' 공포 여전,https://image.ytn.co.kr/general/jpg/2025/0808/202508080433247924_h.jpg,,2025.08.08. 04:33,https://www.ytn.co.kr/_ln/0104_202508080433247924,YTN
"푸틴, 미·러 회담 장소로 UAE 제시...""수일 내 만나기로""",https://image.ytn.co.kr/general/jpg/2025/0808/202508080431326640_h.jpg,,2025.08.08. 04:31,https://www.ytn.co.kr/_ln/0104_202508080431326640,YTN
국민의힘 당 대표 4파전...김문수·안철수·장동혁·조경태,https://image.ytn.co.kr/general/jpg/2025/0808/202508080429276951_h.jpg,,2025.08.08. 04:29,https://www.ytn.co.kr/_ln/0101_202508080429276951,YTN
[자막뉴스] 사직 전공의 복귀 움직임...정원 초과해도 '채용 인정',https://image.ytn.co.kr/general/jpg/2025/0808/202508080418490943_h.jpg,,2025.08.08. 04:18,https://www.ytn.co.kr/_ln/0134_202508080418490943,YTN
"오늘부터 공연·전시도 할인...""210만 장 선착순 지급""",https://image.ytn.co.kr/general/jpg/2025/0808/202508080412234342_h.jpg,,2025.08.08. 04:12,https://www.ytn.co.kr/_ln/0106_202508080412234342,YTN
"젤렌스키 ""유럽, 우크라 평화 과정 참여해야""...연쇄 통화",https://www.ytn.co.kr/img/news/default_0104.jpg,,2025.08.08. 03:47,https://www.ytn.co.kr/_ln/0104_202508080347103532,YTN
"미 상무 ""트럼프 임기 내 미국에 반도체공장 지으면 무관세""",https://www.ytn.co.kr/img/news/default_0104.jpg,,2025.08.08. 03:40,https://www.ytn.co.kr/_ln/0104_202508080340493913,YTN
"오픈AI, 최신 AI 모델 'GPT-5' 공개...""박사급 전문가 수준""",https://image.ytn.co.kr/general/jpg/2025/0808/202508080331509510_h.jpg,,2025.08.08. 03:31,https://www.ytn.co.kr/_ln/0104_202508080331509510,YTN
개봉 3일 만에 제작비 회수...베트남 극장 1위 비결은?,https://image.ytn.co.kr/general/jpg/2025/0808/202508080320481811_h.jpg,,2025.08.08. 03:20,https://www.ytn.co.kr/_ln/0106_202508080320481811,YTN
'인기 만점' 경기도 공공산후조리원...안성·평택 2곳 추가 예정,https://image.ytn.co.kr/general/jpg/2025/0808/202508080318345554_h.jpg,,2025.08.08. 03:18,https://www.ytn.co.kr/_ln/0115_202508080318345554,YTN
"""금리 인하파 월러, 연준 의장 유력 후보로 부상""",https://image.ytn.co.kr/general/jpg/2025/0808/202508080305234680_h.jpg,,2025.08.08. 03:05,https://www.ytn.co.kr/_ln/0104_202508080305234680,YTN
푸틴은 생각을 바꿀까...트럼프의 딜레마,https://image.ytn.co.kr/general/jpg/2025/0808/202508080214060131_h.jpg,,2025.08.08. 02:14,https://www.ytn.co.kr/_ln/0104_202508080214060131,YTN
"대통령실, 트럼프 '반도체 관세' 언급에 ""미, 최혜국대우 약속""",https://image.ytn.co.kr/general/jpg/2025/0808/202508080210414687_h.jpg,,2025.08.08. 02:10,https://www.ytn.co.kr/_ln/0101_202508080210414687,YTN
서울 동대문구 공사장서 또 땅 꺼짐...다친 사람 없어,https://image.ytn.co.kr/general/jpg/2025/0808/202508080207153691_h.jpg,,2025.08.08. 02:07,https://www.ytn.co.kr/_ln/0103_202508080207153691,YTN
"인천 2,200세대 아파트 정전...엘리베이터에 갇힌 7명 구조",https://image.ytn.co.kr/general/jpg/2025/0808/202508080206034789_h.jpg,,2025.08.08. 02:06,https://www.ytn.co.kr/_ln/0103_202508080206034789,YTN
전북 전주 교차로에서 차량 화재...승용차 1대 전소,https://image.ytn.co.kr/general/jpg/2025/0808/202508080204538891_h.jpg,,2025.08.08. 02:04,https://www.ytn.co.kr/_ln/0115_202508080204538891,YTN
"국민의힘, '이춘석 차명 게이트' 특검법 당론 발의",https://image.ytn.co.kr/general/jpg/2025/0808/202508080203221928_h.jpg,,2025.08.08. 02:03,https://www.ytn.co.kr/_ln/0101_202508080203221928,YTN
"민주 윤리심판원 ""이춘석 제명 사유 확인...중차대한 비위""",https://image.ytn.co.kr/general/jpg/2025/0808/202508080202114246_h.jpg,,2025.08.08. 02:02,https://www.ytn.co.kr/_ln/0101_202508080202114246,YTN
