title,thumbnail,short_content,write_time,link,company
SEC 가상자산 TF 출범에…미국發 규제 구체화된다,https://img.etoday.co.kr/crop/200/125/1996363.jpg,"美 SEC, 암호화폐 태스크포스 출범…규제 명확성ㆍ혁신 가속화 ‘크립토 맘’ 헤스터 피어스 SEC 위원 주도…“여러 의견 청취할 것” “SEC TF, 규제 명확화 의지 확실해 보여…업계 긍정 효과 기대” 김병환 금융위원장 “보호 중점 두고 있지만, 미국 동향 살필 것” 미국 증권거래위원회(SEC)가 암호화폐(가상자산) 태스크포스(TF)를 출범하며 본격적으로 관련 규제 정비에 나섰다. 이 같은 변화는 국내 규제 환경에도 영향을 미칠 것으로 보인다. 김병환 금융위원장은 이날 월례 기자간담회에서 미국의 가상자산 규제 동향을 주목하고 있",2025-01-22 18:35,https://www.etoday.co.kr/news/view/2440004,이투데이
"새마을금고중앙회, 2025년 신입직원 공채",https://img.etoday.co.kr/crop/200/125/2129575.jpg,"새마을금고중앙회는 일반직 신입직원 공개채용을 실시한다고 22일 밝혔다. 일반분야 및 IT분야 중 선택하여 지원 가능하며, 입사지원서는 다음 달 10일까지 새마을금고 홈페이지 채용 게시판을 통해 접수할 수 있다. 서류전형 합격자를 대상으로 다음 달 22일 온ㆍ오프라인을 통해 필기전형이 실시된다. 이후 면접전형을 거쳐 4월 중 최종합격자가 선정되며, 전국 13개 지역본부 및 IT센터에 배치되어 업무를 수행할 예정이다. 김인 새마을금고중앙회장은 “새마을금고의 미래를 책임질 인재들을 항상 환영하고 있다”며 “전국 각지의 많은 인재가 중앙",2025-01-22 17:48,https://www.etoday.co.kr/news/view/2440031,이투데이
"신한은행, ‘신한 청년 금융지원 패키지’ 금융감독원장상 수상",https://img.etoday.co.kr/crop/200/125/2129475.jpg,‘신한 청년 금융지원 패키지’ 공로 인정받아 신한은행은 ‘신한 청년 금융지원 패키지’로 금융감독원장상을 수상했다고 22일 밝혔다. ‘신한 청년 금융지원 패키지’는 △신한 돌려받는 장학적금 △청년 전(월)세대출 공과금 지원 △한국장학재단 연계 신용회복 지원 등 학자금 대출과 주거비 부담으로 어려움을 겪는 청년을 지원하고 경제적 자립을 돕는 금융상품과 서비스로 구성됐다. ‘신한 돌려받는 장학적금’은 학자금대출 보유 청년이 6개월간 60만 원 이상 저축 시 10만 원의 학자금 상환지원금을 제공하는 적금상품으로 지난해 7월 8만 좌 한도,2025-01-22 17:47,https://www.etoday.co.kr/news/view/2439966,이투데이
"현대엔지니어링, 3개월 내 A등급대 추락하나…‘안정적→하향 검토’ 전망 강등",https://img.etoday.co.kr/crop/200/125/2093121.jpg,"현대엔지니어링이 대규모 해외 손실 인식으로 신용등급 A등급대 강등 위기에 처했다. 22일 신용평가업계에 따르면 NICE신용평가는 현대엔지니어링의 신용등급을 기존 'AA-, 안정적'에서 'AA-, 하향 검토'로 조정했고, 한국기업평가는 '부정적'으로 하향 조정했다. 신용등급 전망 하향 검토는 부정적 신용등급 전망보다 가까운 최소 3개월 내의 신용등급 강등을 의미한다. 한국신용평가는 현대엔지니어링에 대해서는 신용등급을 부여하고 있지 않다. 이날 공개한 잠정실적에 따르면 현대엔지니어링의 매출액은 14조8000억 원으로 2023년 대비",2025-01-22 17:41,https://www.etoday.co.kr/news/view/2440084,이투데이
[오늘의 주요공시] 삼성바이오로직스·LG디스플레이 등,https://img.etoday.co.kr/crop/200/125/2129642.jpg,"△삼성바이오로직스, 지난해 매출 4.5조…영업익 19% 증가 △삼성물산, 지난해 영업익 2조9840억…전년비 4% 증가 △LG디스플레이 지난해 4분기 영업익 831억… 1년 만에 흑자 △LG이노텍, 지난해 매출 21.2억…영업익 전년비 15% 감소 △현대제철, 지난해 영업익 전년비 60.6% 하락한 3144억 △현대건설, 지난해 영업손실 1조2209억 적자 전환 △HD현대인프라코어, 지난해 영업익 1842억…전년비 56% 감소 △한진, 지난해 영업익 1005억…전년비 18% 감소 △LX세미콘, 지난해 영업익 전년비 29.5% 증가",2025-01-22 17:35,https://www.etoday.co.kr/news/view/2440081,이투데이
"유케이케미팜, IPO 출격…주관사 NH투자증권 선정",https://img.etoday.co.kr/crop/200/125/2129631.jpg,유케이케미팜이 기업공개(IPO)를 위해 NH투자증권을 주관사로 선정했다고 22일 밝혔다. 유케이케미팜은 1991년에 설립된 제약회사다. 일체형 키트 항생 주사제인 '풀키트 주사제'와 조제 편의성을 높이기 위해 개발된 '하프키트 주사제'가 주력 제품이다. 유케이키트주사제는 항생제와 수액제가 일체형으로 무균 결합한 국내 최초의 키트형 항생 주사제다. 이 제품은 미국과 일본의 종합병원에서 보편화 RTUP(Ready-To-Use Product)로 분류되며 감염 예방에 특화된 제형으로 평가받는다. 의료진의 주사 찔림 안전사고를 예방할 수,2025-01-22 17:22,https://www.etoday.co.kr/news/view/2440073,이투데이
"금호전기 “자회사, AI 기반 드론 안전점검 플랫폼 개발 착수”",https://img.etoday.co.kr/crop/200/125/2129596.jpg,"금호전기는 자회사 브릭메이트가 파블로항공과 협력해 군집 드론으로 수집한 안전점검 데이터를 분석하는 인공지능(AI) 플랫폼을 개발한다고 22일 밝혔다. 이번 플랫폼 개발은 금호전기가 지난해 10월 파블로항공과 체결한 '차세대 항공 모빌리티 기술협력 및 상용화를 위한 업무협약'에 따른 전략적 협력의 일환이다. 금호전기는 최근 드론 생산시설 구축 절차에 박차를 가하는 등 드론사업 확대에 속도를 내고 있다. 파블로항공은 무인이동체 자율군집제어 전문기업으로, 실시간 드론관제 솔루션 등 차별화된 기술력을 갖추고 있다. 특히 다수의 드론을 동",2025-01-22 16:37,https://www.etoday.co.kr/news/view/2440042,이투데이
"자본연 ""트럼프 리스크, 내년 韓성장률 0.25%P 떨어뜨려""",https://img.etoday.co.kr/crop/200/125/2129479.jpg,"'올해 자본시장 전망 및 주요이슈 세미나' ""올해 韓 1.6% 성장…금리 0.75%P 내릴 것"" 증권업 수익 '맑음'…자산운용업 상품별 차별화 젊은 서학개미 더 는다…""기업 밸류업 참여해야"" 자본시장연구원은 트럼프 정부의 무역정책이 내년 우리나라 경제성장률을 0.25%포인트(p) 떨어뜨릴 것으로 전망했다. 또 올해 우리나라 내수와 수출이 부진하면서 경제는 1.6% 성장하는 데 그칠 것으로 예상했다. 장보성 자본시장연구원 거시금융실장은 22일 서울 여의도 금투센터에서 열린 '2025년 자본시장 전망과 주요 이슈' 세미나에 참석해 """,2025-01-22 16:23,https://www.etoday.co.kr/news/view/2439969,이투데이
“美 조정은 기회”…해외주식형 펀드에 연초 이후 1.4조,https://img.etoday.co.kr/crop/200/125/2129371.jpg,"도널드 트럼프 미국 대통령 취임을 전후로 글로벌 증시 불확실성이 커졌지만, 국내 투자자들은 해외주식에 투자하는 펀드에 뭉칫돈을 쏟아붓고 있다. 특히 최근 미국 증시 변동성이 단기 조정에 그칠 것으로 판단한 저가 매수세가 몰린 것으로 분석된다. 22일 에프앤가이드에 따르면 설정액 10억 원 이상 594개 세계 권역별 해외주식형 펀드 설정액은 연초 이후 전날까지 1조4116억 원 증가했다. 국내외 주식·채권·대체, 머니마켓펀드(MMF) 등 분야를 아울러 단기자금으로 분류되는 MMF(31조6527억 원) 다음으로 큰 규모다. 해외주식형",2025-01-22 16:11,https://www.etoday.co.kr/news/view/2440002,이투데이
"사학연금, 사랑의 열매에 ‘나눔기금’ 전달",https://img.etoday.co.kr/crop/200/125/2129559.jpg,"사립학교교직원연금공단(사학연금)은 서울시 중구 사랑의 열매 회관에서 송하중 사학연금 이사장과 김병준 사회복지공동모금회(사랑의 열매) 회장 등이 참석한 가운데 ‘사학연금나눔기금’ 전달식을 진행했다고 22일 밝혔다. 사학연금은 전날 열린 ‘사학연금나눔기금’ 전달식에서 저소득층 학생 지원을 위해 사학연금 교직원의 기부를 통해 조성된 나눔기금 3000만 원을 전달했다. 이는 사랑의 열매를 통해 소아암 환아 3명의 치료비와 자립 청소년 5명의 교육비로 전액 사용될 예정이다. 사학연금나눔기금은 교육비와 의료비, 자립 지원 등 저소득층 학생을",2025-01-22 16:02,https://www.etoday.co.kr/news/view/2440020,이투데이
