title,thumbnail,short_content,write_time,link,company
"[사설] 윤 대통령, 계속 수사 거부하며 책임 회피할 것인가",https://image.kmib.co.kr/online_image/2025/0123/2025011609574226623_1736989062_1737533323.jpg,헌법재판소의 탄핵심판 변론에 출석해 계엄 선포의 정당성을 강변했던 윤석열 대통령이 고위공직자범죄수사처의 수사는 계속 거부하고 있다. 공수처는 연일 서울구치소를 찾아 윤 대통령에 대한 강제 구인 및 현장조사를 시도했으,2025-01-23 01:30,https://www.kmib.co.kr/article/view.asp?arcid=1737533323&code=11171111&sid1=all,국민일보
화석연료 부활… 모처럼 웃은 석화업계 “장기 침체 극복 기회”,https://image.kmib.co.kr/online_image/2025/0123/2025012220240333284_1737545043_1737535709.jpg,도널드 트럼프 미국 대통령이 취임과 동시에 화석연료의 부활과 그린뉴딜(친환경 산업 정책)의 종언을 고하면서 정유·석유화학과 신재생에너지 기업 간 희비가 갈리고 있다. 트럼프 대통령은 20일(현지시간) 취임사에서 “치,2025-01-23 01:23,https://www.kmib.co.kr/article/view.asp?arcid=1737535709&code=11151400&sid1=all,국민일보
공정위 ‘4대 은행 LTV 담합 의혹’ 조사는 판정패?,https://image.kmib.co.kr/online_image/2025/0123/2025011320220623714_1736767326_1737537399.jpg,공정거래위원회가 4대 은행(KB국민·우리·하나·신한은행)의 주택담보대출비율(LTV) 담합 의혹 건에 대해 재심사 결정 후에도 두 달 가까이 결론을 못 내자 사실상 공정위가 ‘판정패’한 것 아니냐는 지적이 나오고 있다. 공정,2025-01-23 01:23,https://www.kmib.co.kr/article/view.asp?arcid=1737537399&code=11151100&sid1=all,국민일보
배민 중개수수료 차등제 다음달 도입… 2.0~7.8% 적용,https://image.kmib.co.kr/online_image/2025/0123/2025012220270433292_1737545224_1737537011.jpg,배달의민족이 향후 3년간 중개수수료를 현행 9.8%에서 2.0~7.8%로 인하한다. 배달 매출이 적은 업주들의 비용 부담을 상대적으로 낮추는 방식이다. 일각에선 시행안의 실효성이 떨어진다며 ‘수수료율 5% 상한제’를 요구하는 목,2025-01-23 01:22,https://www.kmib.co.kr/article/view.asp?arcid=1737537011&code=11151100&sid1=all,국민일보
티웨이항공 오너 바뀌나… 대명소노 경영권 인수전 돌입,https://image.kmib.co.kr/online_image/2025/0123/2025012220250333286_1737545103_1737536387.jpg,국내 최대 리조트기업인 대명소노그룹이 티웨이항공 경영권 참여를 선언하면서 항공업 진출을 공식화했다. 대명소노그룹은 유럽·미주 노선을 보유한 에어프레미아와 국내·아시아 노선 위주의 티웨이항공을 합병하는 방안도 검토,2025-01-23 01:21,https://www.kmib.co.kr/article/view.asp?arcid=1737536387&code=11151400&sid1=all,국민일보
"[사설] 쓴소리를 ‘내부 총질’ 비난하는 민주당, 수권정당 되겠나",https://image.kmib.co.kr/online_image/2025/0123/2025012109505430844_1737420655_1737531291.jpg,최근 지지율이 하락하며 국민의힘에 역전당하자 더불어민주당 내부에서 조금씩 자성의 목소리가 나오고 있다. 임종석 전 청와대 비서실장은 “이재명 대표 한 사람만 바라보며 당내 민주주의가 숨을 죽인 지금의 민주당은 과연 국,2025-01-23 01:20,https://www.kmib.co.kr/article/view.asp?arcid=1737531291&code=11171111&sid1=all,국민일보
"김병환 “기준금리 인하, 은행들이 반영할 시기”",https://image.kmib.co.kr/online_image/2025/0123/2025012220160433254_1737544564_1737534119.jpg,김병환(사진) 금융위원장이 22일 올해 가계부채 증가율을 경상성장률 증가 범위인 3.8% 내로 관리하겠다고 밝혔다. 김 위원장은 이날 정부서울청사에서 기자간담회를 하고 “현재 가계부채 관리 기조를 유지해나가겠다”며 이,2025-01-23 01:15,https://www.kmib.co.kr/article/view.asp?arcid=1737534119&code=11151300&sid1=all,국민일보
나도 모르는 새 카드값 줄줄… 다크패턴에 소비자 분통,https://image.kmib.co.kr/online_image/2025/0123/2022040520420557944_1649158925_1737534728.jpg,한 쇼핑 플랫폼의 월 구독 서비스를 해지한 A씨는 몇 달이 지나서야 구독료가 여전히 빠져나가고 있다는 사실을 알았다. 알고 보니 당시 A씨가 ‘해지’로 생각하고 눌렀던 최종 단계의 버튼이 ‘혜택 유지’였던 것이다. 교묘하,2025-01-23 01:14,https://www.kmib.co.kr/article/view.asp?arcid=1737534728&code=11151100&sid1=all,국민일보
CJ온스타일 신규 입점 브랜드 3배 증가,https://image.kmib.co.kr/online_image/2025/0123/2025012220130533248_1737544385_1737533885.jpg,CJ온스타일은 지난해 신규 입점 브랜드 수가 전년 대비 3배 증가했다고 22일 밝혔다. 2023년 240개였던 신규 브랜드 수는 지난해 800개가 넘는 것으로 집계됐다. 신규 입점 브랜드의 93%는 중소 중견 기업인 것으로 나타났다. CJ,2025-01-23 01:12,https://www.kmib.co.kr/article/view.asp?arcid=1737533885&code=11151400&sid1=all,국민일보
현대건설 영업손실 1.2조 ‘어닝쇼크’… 건설사 실적 ‘먹구름’,https://image.kmib.co.kr/online_image/2025/0123/2025012220120433244_1737544324_1737538609.jpg,"현대건설이 자회사의 해외사업 부진 등 여파로 지난해 1조원 이상의 영업손실을 기록했다. 23년 만의 적자전환이다. 부동산시장 냉각, 원자잿값과 인건비 급등으로 건설업계 전반이 침체인 상황에서 ‘맏형’ 격인 현대건설마저",2025-01-23 01:11,https://www.kmib.co.kr/article/view.asp?arcid=1737538609&code=11151400&sid1=all,국민일보
김상현 부회장 “도전·용기·변화·기회잡기” 당부,https://image.kmib.co.kr/online_image/2025/0123/2025012220120633246_1737544326_1737533319.jpg,롯데는 김상현(사진) 유통군 총괄대표 부회장이 임직원에게 새해 일하는 마음가짐으로 도전·용기·변화·기회잡기 등 ‘4C’(Challenge·Courage·Change·Chance Taking)를 당부했다고 22일 밝혔다. 김 부회장은 지난해 성과,2025-01-23 01:11,https://www.kmib.co.kr/article/view.asp?arcid=1737533319&code=11151400&sid1=all,국민일보
