title,thumbnail,short_content,write_time,link,company
설 명절 앞두고···전북 격포항수산시장 화재,https://img.khan.co.kr/news/c/190x140/2025/01/22/news-p.v1.20250122.9c156e4c760244c89af7041e7f4cba91_P1.jpg,"점포 11개 불타···1억 7000만원 피해설 명절을 앞두고 전북 부안군 변산면 격포리 격포항수산시장에서 불이 나 1억원이 넘는 재산 피해가 발생했다.22일 부안소방서에 따르면 전날 오후 11시 14분쯤 부안군 변산면 격포항수산시장에서 불이 나 1시간 30여 분 만에 진화됐다. 이 불로 점포 중 11개와 수족관, 냉장고, 어패류 등이 불에 타 1억 7000여만원(소방서 추산)의 재산 피해가 났다.격포항수산시장 한 상인은 “설 대목을 앞두고 상인들 대부분이 평소보다 4~5배는 더 많은 수산물을 준비해뒀다”며 “활어 대부분이 폐사해 앞으로 장사를 어떻게 해야 할지 막막하다”고 말했다.경찰과 소방당국은 “수족관 시즈히터 배선에서 전기적 요인으로 인한 화재로 추정된다”며 정확한 화재 원인을 조사하고 있다.한편 전북도와 부안군은 화재 피해 복구를 위한 다양한 지원방안을 검토하고 있다. 먼저 도는 재난관리기금을 지원하고 부안군은 예비비를 활용의 안전진단을 진행, 복구 계획...",2시간 전,https://www.khan.co.kr/article/202501222330001,경향신문
"홍장원 “국정원 사랑하지 않냐, ‘넘버2’를 이렇게 경질해선 안돼” 국정원장 저격",https://img.khan.co.kr/news/c/190x140/2025/01/22/news-p.v1.20250122.b02e00ae8caf4b12807f6c2d14e60881_P1.jpg,홍장원 전 국가정보원 1차장이 자신을 경질한 조태용 국정원장을 향해 “무고이고 인사제청권 남용”이라고 비판했다. 홍 전 차장은 12·3 비상계엄 당시 정치인들을 체포하라는 윤석열 대통령의 지시가 있었다고 국회에 알린 뒤 경질됐다.홍 전 차장은 이날 국회 ‘윤석열 정부의 비상계엄 선포를 통한 내란 혐의 진상규명 국정조사 특별위원회’의 1차 청문회에 출석해 “국정원장께서 (저를) 정치 중립 의무를 위반한 이유로 인사제청을 해서 대통령께서 경질하셨다고 말씀을 들었다”며 이같이 밝혔다.그는 “국정원법에는 정치활동 관여행위가 명시적으로 적시돼 있다”며 “국정원장께서 (제가) ‘야당 대표에게 전화하라’고 한 것을 정치 중립 위반으로 판단한 건 국정원법에도 없고 규정에도 없다”고 말했다.그는 “인사제청권자인 국정원장께서 국정원법과 규정에 근거하지 않은 상태에서 자의적으로 판단하고 인사권자에게 허위 보고를 한 것”이라고 말했다. 그는 지난달 6일 이뤄진 자신에 대한 경질은 원천무효이...,2시간 전,https://www.khan.co.kr/article/202501222320001,경향신문
"해리 왕자, ‘사생활 침해’ 타블로이드지와 거액 합의…최소 177억원 받는다",https://img.khan.co.kr/news/c/190x140/2025/01/22/rcv.YNA.20250122.PAF20250122023501009_P1.jpg,"찰스 3세 영국 국왕의 차남 해리 왕자가 타블로이드지와의 사생활 침해 소송 과정에서 거액의 합의금을 받기로 했다.로이터통신은 22일(현지시간) 대중지 더선 등을 소유한 뉴스UK(과거 ‘뉴스 그룹 뉴스페이퍼스’·NGN)가 해리 왕자에게 ‘여덟자리’ 수준의 합의금을 내기로 했다고 보도했다. 영국 파운드화로 여덟자리면 최소 1000만파운드인데, 이는 한화로 약 177억원이다.‘언론 재벌’ 루퍼트 머독이 소유한 NGN은 해리 왕자의 모친 고 다이애나 왕세자빈에 대한 사생활 침해도 인정하며 사과했다.NGN은 이날 서면으로 “더선이 1996∼2011년 사설탐정들의 불법적 행위를 포함한 일로 해리 왕자의 사생활을 심각하게 침해한 것을 전적으로, 분명하게 사과한다”며 “또한 뉴스 오브 더 월드 기자와 사설탐정들의 전화 해킹, 감시, 사적 정보 오용에 대해 전적으로 분명하게 사과한다”고 밝혔다. 그러면서 “고 다이애나빈과 해리 왕자의 사생활, 특히 어린 시절 사생활을 광범위...",3시간 전,https://www.khan.co.kr/article/202501222224001,경향신문
‘강경파’ 김성훈에 집단 반발…경호처 본부장급 간부 사표,,"대통령경호처 본부장급 간부들이 김성훈 경호처 차장 체제에 반발해 사직서를 제출한 것으로 확인됐다.22일 경향신문 취재를 종합하면 경호처 본부장급 간부 일부는 최근 사직서를 제출했다. 경호처는 처장과 차장 아래 본부장, 부장, 과장급 등으로 구성된다. 경호처가 현재 김 차장의 처장 직무대행 체제로 운영되고 있다는 점을 고려할 때 김 차장 바로 아래의 고위 간부들이 집단으로 사의를 표명한 것이다. 다만 김 차장과 함께 ‘강경파’로 분류되는 이광우 경호본부장은 사직서를 내지 않았다고 한다.고위 간부들이 집단으로 사의를 표한 것은 김 차장의 리더십에 문제를 제기하는 반발성 움직임으로 해석된다. 경호처 내부는 지난 15일 윤석열 대통령 체포 당시 이를 저지하는 작전을 수행할 것인지를 두고 극심한 내부 갈등을 겪었다. 당시 김 차장은 고위공직자범죄수사처의 체포영장 집행을 적극적으로 진압하라고 지시했으나 간부들 대다수가 반발하면서 윤 대통령은 체포됐다.윤 대통령이 체...",3시간 전,https://www.khan.co.kr/article/202501222204005,경향신문
‘노오란 샤쓰의 사나이’ 원로 가수 한명숙 별세,https://img.khan.co.kr/news/c/190x140/2025/01/22/l_2025012301000714900067001.jpg,"‘노오란 샤쓰의 사나이’를 부른 가수 한명숙씨가 22일 별세했다. 향년 90세.고인은 1935년 평안남도 진남포시에서 태어나 월남했다. 그는 허스키한 음색으로 미8군쇼 무대에서 가수 생활을 시작했다. 작곡가 손석우씨에 의해 ‘노오란 샤쓰의 사나이’로 가요계에 공식 데뷔했다. 1961년 발표된 ‘노오란 샤쓰의 사나이’는 한국을 넘어 동남아에서도 히트했다. <노란 샤쓰 입은 사나이>라는 제목의 영화도 만들어졌고, 고인은 가수 역할로 출연했다.고인은 1980년대 중반까지 활동하며 2013년에는 가수 안다성·명국환씨와 함께 앨범 <청춘! 그 아름다웠던 날들…>을 발표하기도 했다. 2000년 국민문화훈장, 2003년 KBS 가요대상 공로상을 받았다.",3시간 전,https://www.khan.co.kr/article/202501222158005,경향신문
"경호처 본부장급 간부들, 집단 사직서 제출 …김성훈 체제에 반발",https://img.khan.co.kr/news/c/190x140/2025/01/22/news-p.v1.20250122.cd8c8670eccd4fb0bd1ae11df7931695_P1.jpeg,"대통령경호처 본부장급 간부들이 김성훈 경호처 차장 체제에 반발해 사직서를 제출한 것으로 확인됐다.22일 경향신문 취재를 종합하면 경호처 본부장급 간부 일부는 최근 사직서를 제출했다. 경호처는 처장과 차장 아래 본부장, 부장, 과장급 등으로 구성된다. 경호처가 현재 김 차장의 처장 직무대행 체제로 운영되고 있다는 점을 고려할 때 김 차장 바로 아래의 고위 간부들이 집단으로 사의를 표명한 것이다. 다만 김 차장과 함께 ‘강경파’로 분류되는 이광우 경호본부장은 사직서를 제출하지 않았다고 한다.고위 간부들이 집단으로 사의를 표한 것은 김 차장의 리더십에 문제를 제기하는 반발성 움직임으로 해석된다. 경호처 내부는 지난 15일 윤석열 대통령 체포 당시 이를 저지하는 작전을 수행할 것인지를 두고 극심한 내부 갈등을 겪었다. 당시 김 차장은 고위공직자범죄수사처의 체포영장 집행을 적극적으로 막으라고 지시했으나 간부들 대다수가 반발하면서 윤 대통령은 체포됐다.윤 대통령이 체포에 이어 구...",3시간 전,https://www.khan.co.kr/article/202501222157001,경향신문
[정동칼럼]확증편향적 신념에 대하여,https://img.khan.co.kr/news/c/190x140/2025/01/22/l_2025012301000685300066871.jpg,"독일 사회학자 니클라스 루만은 <사회체계이론>에서 근대사회가 여러 하위 체계들을 병렬적으로 진화시켜 온 과정을 설명한다. 그는 근대사회의 각 하위체계들인 법체계, 정치체계, 경제체계, 학문체계 등이 각각 자신만의 고유한 매체, 코드, 기능 등을 발전시켜 왔다고 본다. 예컨대 법체계와 정치체계는 두 가지 전혀 다른 세계이며, 각자 서로 다른 코드를 통해 스스로를 타 체계와 구분해왔다. 법체계가 ‘합법인가 불법인가’라는 코드로 자신을 특화해왔다면 정치체계는 ‘통치하는가 통치받는가’라는 코드로 스스로를 인지한다. 요컨대 합법성과 통치성의 개념은 서로 기원이 다를뿐더러 섞이는 것이 허용되지 않는 근대사회 원칙과 같은 것이다.반면, 최근 12·3 불법계엄 이후 등장한 일련의 사태는 합법성과 통치성의 대립 혹은 법체계와 정치체계 사이의 갈등 구도를 보여준다. 헌재 심판에서 윤석열의 변호인단은 “계엄은 대통령의 고유 권한”이며, “(이에 대해) 국회와 법원, 헌법재판소는 심판할...",4시간 전,https://www.khan.co.kr/article/202501222112015,경향신문
[문화와 삶]찾는 일과 되찾는 일,https://img.khan.co.kr/news/c/190x140/2025/01/22/l_2025012301000678700066861.jpg,"찾는 일에 대해 생각한다. 지금 없는 것을 얻거나 여기 없는 사람을 만나고자 살피는 일에 대해, 그러니까 희망과 이상을 좇고 새집과 새 친구를 구하는 일에 대해. 모르는 것을 알아내기 위해 부단히 애쓰는 일에 대해, 그러니까 사건의 원인을 밝히고 인생의 목표를 간구하는 일에 대해. 잃거나 빼앗기거나 맡기거나 빌려주었던 것을 돌려받는 일에 대해, 그러니까 유실물을 다시 손에 넣고 상실했던 주권을 회복하는 일에 대해. 헤아려보건대 찾는 일의 근간에는 으레 절박함이 자리하고 있다.찾는 일은 환희와도 연결된다. 부푼 마음으로 고향을 찾을 때, 숨 돌리기 위해 여행지를 찾을 때 우리는 설렌다. 안식처나 해방구를 발견한 사람처럼 기쁘다. 좋은 물건을 구하기 위해 노력하고 모든 일의 중심에 양심을 두는 일 또한 능동적으로 찾는 행위다. 여기에는 취향과 신념을 굽히지 않겠다는 의지가 담겨 있다. 도움을 요청하기 위해 관공서, 병원 등 기관을 방문하는 일은 회복을 통한 ‘찾기’의 실천이다. ...",4시간 전,https://www.khan.co.kr/article/202501222112005,경향신문
"[경향의 눈]부끄럽다, 부끄럽다, 부끄럽다",https://img.khan.co.kr/news/c/190x140/2025/01/22/l_2025012301000695600066811.jpg,"충격이 충격을 덮는, 각종 ‘초유’ 사태의 폭풍 속을 지나면서, 국민들이 가장 자주 마주하는 감정은 참을 수 없는 부끄러움이 아닐까 싶다. 너무 많아 일일이 열거하기도 어렵지만, 집단적 수치심을 안긴 충격적인 장면 몇 가지만 추린다.“84만5280분 귀한 시간들 오로지 국민만 생각한 당신” “새로운 대한민국 위해서 하늘이 우리에게 보내주신 대통령이 태어나신 뜻깊은 오늘을 우리 모두가 축하해”. 2023년 12월18일 대통령실 강당에서 ‘대통령경호처 창설 60주년 기념행사’를 빙자해 열린 윤석열 대통령(이하 호칭 생략)의 생일잔치에 울려퍼진 축하곡이다. 북한에서나 있을 법한 ‘윤비어천가’에 희희낙락했을 윤석열의 낯두꺼움에 국민들은 부끄럽다. “김용현 국방장관이 국회해산권이 존재했던 예전 군사정권 때의 계엄 예문을 그대로 필사했다. 나는 (이러한) 문구 잘못을 부주의로 간과해 바로잡지 못했다.” 윤석열 변호인단은 지난 14일 김 전 장관이 계엄 포고령을 잘못 베껴 위헌적인...",4시간 전,https://www.khan.co.kr/article/202501222110025,경향신문
[임의진의 시골편지]헌금 시간,https://img.khan.co.kr/news/c/190x140/2025/01/22/l_2025012301000680100066791.jpg,"시골에서 목회할 때, 재사용하려고 헌금 봉투를 정리정돈. 한 할매가 헌금 봉투에다 꾹꾹 눌러쓴 글씨 ‘내 생일 감사 현금’, 귀여움에 웃은 일이 있었다. 현금 박치기인가. 교회도 단체이니만큼 돈이 있어야 굴러가지. 신자들이 진실한 마음으로 돈을 바치기도 하지만, 반대로 지옥 간다 어쩐다 협박도 일삼고 직분을 빌미로 헌금을 강요하기도 한다더라. 요새 떠들썩한 ‘아스팔트 내란 교회’ 쪽도 보아하니 중간에 헌금 광고가 흘러나온다. 그들 뜻대로 ‘군홧발 탱크로 밀어버렸음 끝났을 일’을 헌금을 걷고, 신자 동원까지 해야 하니 피곤하겠다.지하철에서 두 사람이 말싸움을 거칠게 하더래. 앉아 있던 한 아줌마가 말리면서 하는 말. “아니 여기가 무슨 교회인 줄 아세요? 그만 좀 싸우세요.” 싸움 하면 역시 교회인데, 교리 싸움에 교파 싸움, 수만 갈래로 찢기고 갈라졌다. 이 동네도 싸움의 원인을 추적해보면 결국 돈이야. 돈이 있는 곳엔 분쟁이 발생한다. 집집마다 돼지 저금통이 하나씩 ...",4시간 전,https://www.khan.co.kr/article/202501222110015,경향신문
