title,thumbnail,short_content,write_time,link,company
"“조 원장님, 국정원 사랑하시잖아요? 넘버2를 이렇게 경질하시면…”",https://flexible.img.hani.co.kr/flexible/normal/300/180/imgdb/child/2025/0123/53_17375602598974_20250123500003.webp,홍장원 전 국가정보원 1차장이 22일 조태용 국정원장이 ‘정치 중립의무 위반’을 이유로 자신을 경질한 것과 관련해 “국정원장이 저에 대해 인사권자(윤석열 대통령)에게 허위보고한 것”이라며 “무고이며 인사제청권의 남용”이라고 말했다.홍 전 차장은 이날 ‘윤석열 정부의 비...,2025-01-23 00:07,https://www.hani.co.kr/arti/politics/politics_general/1179353.html,한겨레
석탄발전소 폐쇄로 직원·가족 떠나면…태안 인구 ‘5만 붕괴’ 직면,https://flexible.img.hani.co.kr/flexible/normal/300/180/imgdb/child/2025/0122/53_17375565559602_20250122504061.webp,"Q. 석탄발전소로 먹고살던 지역, 발전소가 폐쇄되면 어떻게 되나요?A. 전세계적인 탄소감축 노력의 일환으로 우리나라에서도 2036년까지 28기의 석탄화력발전소가 단계적으로 폐쇄됩니다. 발전소 폐쇄가 먼 미래의 일 같지만, 당장 3년 내 약 330명의 하청노동...",2025-01-22 23:18,https://www.hani.co.kr/arti/society/environment/1179352.html,한겨레
"현대건설, ‘골프시설’ 논란 한남동 관저·삼청동 안가 “공사했다”",https://flexible.img.hani.co.kr/flexible/normal/300/180/imgdb/child/2025/0122/53_17375517460827_20250122504026.webp,현대건설이 윤석열 대통령의 한남동 관저와 삼청동 안가에 대한 공사를 진행한 사실을 22일 인정했다.이한우 현대건설 대표 이사는 이날 ‘윤석열 정부의 비상계엄 선포를 통한 내란 혐의 진상규명 국정조사 특별위원회' 청문회에서 한남동 대통령 관저에 골프 관련 시설 공사한 것...,2025-01-22 22:12,https://www.hani.co.kr/arti/politics/politics_general/1179351.html,한겨레
“의원 끌어내라 안 했다” 윤석열 주장 판판이 반박된 청문회,https://flexible.img.hani.co.kr/flexible/normal/300/180/imgdb/child/2025/0122/53_17375503658296_20250122503992.webp,22일 국회에서 열린 ‘윤석열 정부의 비상계엄 선포를 통한 내란 혐의 진상규명 국정조사’ 첫 청문회에서는 윤석열 대통령이 헌법재판소 탄핵심판에서 혐의를 부인하기 위해 내놓은 주장들이 판판이 반박됐다.‘의원 끌어내라 지시 안했다’? “저녁 10시53분 통화”지난달 6일 ...,2025-01-22 21:47,https://www.hani.co.kr/arti/politics/assembly/1179350.html,한겨레
"공수처, 윤석열 조사·압색 무산…검찰 이첩 앞당길듯",https://flexible.img.hani.co.kr/flexible/normal/300/180/imgdb/child/2025/0122/53_17375494241711_20250122503971.webp,고위공직자범죄수사처(공수처)가 22일 윤석열 대통령의 비화폰 서버 기록 등을 확보하고자 대통령실과 관저 압수수색을 시도하고 윤 대통령 3차 강제구인에 나섰지만 모두 무산됐다. 공수처의 수사가 답보 상태인 가운데 윤 대통령을 기소해야 하는 검찰은 사건을 넘겨받을 채비에 ...,2025-01-22 21:27,https://www.hani.co.kr/arti/society/society_general/1179349.html,한겨레
김성훈에 반발…대통령경호처 본부장급 이상 집단 사직서,https://flexible.img.hani.co.kr/flexible/normal/300/180/imgdb/child/2025/0122/53_17375482034361_20250122503945.webp,윤석열 대통령 체포영장 집행을 저지한 혐의로 경찰이 구속영장을 신청했으나 검찰의 영장 반려로 풀려난 김성훈 대통령 경호처 차장에 반발해 경호처 본부장급 이상 간부들이 집단으로 사직서를 낸 것으로 확인됐다.22일 경호처 한 관계자는 한겨레에 “본부장급 이상 간부들이 사직...,2025-01-22 21:02,https://www.hani.co.kr/arti/politics/politics_general/1179348.html,한겨레
트럼프 “2월1일부터 중국에 10% 추가관세”…중 “승자 없는 전쟁”,https://flexible.img.hani.co.kr/flexible/normal/300/180/imgdb/child/2025/0122/53_17375475111578_20250122503941.webp,"도널드 트럼프 미국 대통령이 취임 이튿날 중국에 추가 관세 10%를 부과하겠다고 위협했다. 취임 첫날 그는 멕시코, 캐나다에 25% 추가 관세를 부과할 것이라면서도 중국에 대해서는 따로 언급하지 않았으나 중국에 대해 포문을 열었다. 관세뿐 아니라 자국 기업 보호를 명분...",2025-01-22 20:59,https://www.hani.co.kr/arti/international/america/1179347.html,한겨레
"‘진은숙 베를린필 에디션’ 음반, 국제 클래식 음악 어워드 수상",https://flexible.img.hani.co.kr/flexible/normal/300/180/imgdb/child/2025/0122/53_17375461673246_20250122503914.webp,세계 최정상급 악단인 독일 베를린 필하모닉 오케스트라가 작곡가 진은숙(64)의 주요 작품들을 녹음한 앨범 ‘베를린필 진은숙 에디션’이 국제 클래식 음악 어워드(ICMA) 현대음악 부문 음반상을 받았다고 통영국제음악재단이 22일 밝혔다.국제 클래식 음악 어워드는 세계 각...,2025-01-22 20:16,https://www.hani.co.kr/arti/culture/music/1179346.html,한겨레
"전한길 ‘부정선거 음모론’ 유튜브 동영상…민주, 구글에 신고",https://flexible.img.hani.co.kr/flexible/normal/300/180/imgdb/child/2025/0122/53_17375454341679_20250122503905.webp,한국사 강사 전한길씨가 최근 자신의 유튜브에 올린 ‘대한민국 혼란 중앙선거관리위원회가 초래했다’라는 제목의 동영상을 더불어민주당이 구글에 신고했다. 전씨가 윤석열 대통령 추종자와 극우 음모론자들의 ‘선관위 부정선거 의혹’에 동조하는 내용을 담았다는 이유다. 민주당은 이...,2025-01-22 20:15,https://www.hani.co.kr/arti/politics/assembly/1179345.html,한겨레
"이재명, ‘공선법’ 위헌심판제청 신청…법원 수용시 재판 정지",https://flexible.img.hani.co.kr/flexible/normal/300/180/imgdb/child/2025/0122/53_17375450030745_20250122503901.webp,23일 공직선거법 항소심 첫 재판을 앞둔 이재명 더불어민주당 대표가 자신이 유죄를 선고받았던 허위사실공표 금지 조항에 대해 위헌법률심판 제청을 신청한 것으로 22일 확인됐다.법원이 재판 중인 사건에 적용될 법률 조항이 헌법에 위반된다고 의심할 경우...,2025-01-22 20:15,https://www.hani.co.kr/arti/society/society_general/1179344.html,한겨레
오픈AI·오러클·소프트뱅크 5천억달러 AI 투자…트럼프 발표,https://flexible.img.hani.co.kr/flexible/normal/300/180/imgdb/child/2025/0122/53_17375447507601_20250122503898.webp,"챗지피티(GPT) 개발사 오픈에이아이(AI)와 일본 소프트뱅크, 미국 소프트웨어 기업 오러클이 합작회사를 설립해 미국 인공지능 인프라에 최소 5천억달러(약 717조원)를 투자한다. 중국과 인공지능 개발 경쟁을 벌이는 미국 빅테크 기업들이 대규모 투자를 통해 자국의 기술...",2025-01-22 20:11,https://www.hani.co.kr/arti/economy/it/1179343.html,한겨레
국정원 1차장 “윤석열 지시 따라야 하지만 체포 명단 보니…”,https://flexible.img.hani.co.kr/flexible/normal/300/180/imgdb/child/2025/0122/53_17375432610007_20250122503870.webp,홍장원 전 국가정보원 1차장이 22일 12·3 비상계엄 당시 윤석열 대통령이 이재명 더불어민주당 대표와 한동훈 전 국민의힘 대표 등의 체포를 지시했다는 것과 관련해 “그런 게 매일매일 일어나는 나라가 있다. 어디? 평양. 그런 거 매일매일 하는 기관이 있다. 어디? 북...,2025-01-22 19:45,https://www.hani.co.kr/arti/politics/politics_general/1179342.html,한겨레
"“문형배, 이재명 모친상 문상” 주장하던 권성동, 헌재 반박에 ‘아니면 말고’",https://flexible.img.hani.co.kr/flexible/normal/300/180/imgdb/child/2025/0122/53_17375429291768_20250122503868.webp,‘문형배 헌법재판소장 권한대행이 모친상을 당한 이재명 더불어민주당 대표에게 조문을 다녀왔다’는 권성동 국민의힘 원내대표의 발언을 헌법재판소가 공식 반박했다. 권 원내대표는 ‘잘못 전해 들은 것 같다’며 사실관계 오류를 시인하면서도 ‘핵심 메시지가 잘못된 건 아니다’라는...,2025-01-22 19:44,https://www.hani.co.kr/arti/politics/politics_general/1179341.html,한겨레
윤석열 ‘불출석’ 이상민 ‘증언 거부’ 김성훈 ‘확인 못 해’ 반복,https://flexible.img.hani.co.kr/flexible/normal/300/180/imgdb/original/2025/0122/20250122503866.webp,"12·3 내란사태 진상규명을 위한 첫 국회 청문회에서 곽종근 전 육군 특수전사령관 등 핵심 관련자들이 윤석열 대통령의 헌정파괴 행위를 입증하는 증언을 다시 한번 쏟아냈다. 내란 우두머리 혐의를 받고 있는 윤석열 대통령을 포함해 김용현 전 국방부 장관, 노상원 전 정보사...",2025-01-22 19:44,https://www.hani.co.kr/arti/politics/politics_general/1179340.html,한겨레
‘노오란 샤쓰의 사나이’ 가수 한명숙 별세…향년 90,https://flexible.img.hani.co.kr/flexible/normal/300/180/imgdb/child/2025/0122/53_17375427463528_20250122503863.webp,1961년 발표돼 당대 큰 인기를 끌었던 ‘노오란 샤쓰의 사나이’를 부른 가수 한명숙이 22일 세상을 떠났다. 향년 90.1935년 평안남도 진남포에서 태어난 고인은 월남 뒤 미8군 무대에서 가수 생활을 시작했다. 무명 활동을 이어가던 고인은 1960년대 들어 작곡가 ...,2025-01-22 19:42,https://www.hani.co.kr/arti/culture/music/1179339.html,한겨레
