title,thumbnail,short_content,write_time,link,company
"위험 로컬라이저, 부러지기 쉽게…안전구역도 늘린다",https://news.kbs.co.kr/data/news/2025/01/22/20250122_c0lPgQ.jpg,,,https://news.kbs.co.kr/news/pc/view/view.do?ncd=8158674,KBS
공기청정기 필터에 ‘가습기 살균제 성분’ 검출,https://news.kbs.co.kr/data/news/2025/01/22/20250122_Qt2fI8.jpg,,,https://news.kbs.co.kr/news/pc/view/view.do?ncd=8158631,KBS
"이진숙 탄핵심판, 내일 선고…탄핵소추 174일 만에 결론",https://news.kbs.co.kr/data/news/2025/01/22/20250122_HxGqTk.jpg,,,https://news.kbs.co.kr/news/pc/view/view.do?ncd=8158591,KBS
“선관위 중국인”·“중국 공안 경찰”…퍼지는 음모론,https://news.kbs.co.kr/data/news/2025/01/22/20250122_UKPMGO.jpg,,,https://news.kbs.co.kr/news/pc/view/view.do?ncd=8158583,KBS
독일서 또 외국인 흉악범죄…아프간인 흉기 난동에 2명 사망,https://news.kbs.co.kr/data/news/2025/01/23/20250123_ncUMZF.jpg,독일 서부의 한 공원에서 외국인이 흉기 난동을 벌여 2살 유아와 41살 남성 등 2명이 숨...,2025.01.23 (01:09),https://news.kbs.co.kr/news/view.do?ncd=8158802,KBS
"윤 대통령, 오늘도 헌재 직접 출석…김용현 직접 신문 가능성",https://news.kbs.co.kr/data/news/2025/01/23/20250123_Cqf7GN.jpg,윤석열 대통령이 오늘(23일)도 헌법재판소의 탄핵 심판에 직접 출석할 예정입니다. 윤 대통...,2025.01.23 (01:09),https://news.kbs.co.kr/news/view.do?ncd=8158801,KBS
"민주당 이재명 대표, 오늘 기자회견…정국 구상 밝힐 듯",https://news.kbs.co.kr/data/news/2025/01/23/20250123_r8IGb2.jpg,더불어민주당 이재명 대표는 오늘(23일) 오전 10시 기자회견을 열어 현 정국과 관련한 구...,2025.01.23 (01:09),https://news.kbs.co.kr/news/view.do?ncd=8158800,KBS
"국회, 오늘(23일) 본회의 ‘서부지법 폭동 사태’ 긴급현안질문",https://news.kbs.co.kr/data/news/2025/01/23/20250123_50It3k.jpg,국회가 '서부지법 폭동 사태'와 관련한 긴급현안질문을 실시합니다. 국회는 오늘(23일) 오...,2025.01.23 (01:09),https://news.kbs.co.kr/news/view.do?ncd=8158799,KBS
[Exclusive]Japan withholds Ukishima info,https://news.kbs.co.kr/data/news/2025/01/22/20250122_NbS5qV.jpg,[Anchor]The ship known as Ukishima means 'floating...,2025.01.23 (00:38),https://news.kbs.co.kr/news/view.do?ncd=8158796,KBS
미 국무부도 ‘바이든 지우기’…“트럼프 의제로 국익에 집중”,https://news.kbs.co.kr/data/news/2025/01/23/20250123_NP1wGW.jpg,미 국무부가 트럼프 2기 정부 출범에 따라 주요 정책을 바꾸면서 ‘바이든 정부 지우기’에...,2025.01.23 (00:37),https://news.kbs.co.kr/news/view.do?ncd=8158792,KBS
러 “트럼프 정부엔 협상 기회 있어…바이든 때는 절망”,https://news.kbs.co.kr/resource/image/common/noimg_633_355.png,러시아 외무차관이 새로 출범한 트럼프 미국 정부에는 러시아와 협상할 가능성이 존재한다고 평...,2025.01.23 (00:33),https://news.kbs.co.kr/news/view.do?ncd=8158791,KBS
"이란 부통령 “핵무기 추구한 적 없어…트럼프, 합리성 선택하길”",https://news.kbs.co.kr/data/news/2025/01/23/20250123_9dY9lj.jpg,이란 부통령이 트럼프 미국 대통령을 향해 “이란은 핵무기를 추구한 적이 없다” 면서 이란과...,2025.01.23 (00:24),https://news.kbs.co.kr/news/view.do?ncd=8158790,KBS
‘방위비 청구서’ 두려운 유럽…일제히 “트럼프 말이 옳아”,https://news.kbs.co.kr/data/news/2025/01/23/20250123_5Pa2ZC.jpg,트럼프 미 대통령의 취임을 계기로 유럽에서 방위비 지출을 더 빠른 속도로 늘려야 한다는 자...,2025.01.23 (00:16),https://news.kbs.co.kr/news/view.do?ncd=8158789,KBS
Crematoriums overwhelmed by deaths,https://news.kbs.co.kr/data/news/2025/01/22/20250122_rYW3Ga.jpg,"[Anchor]Recently, reports have indicated that the...",2025.01.23 (00:15),https://news.kbs.co.kr/news/view.do?ncd=8158788,KBS
Turkey ski resort fire kills 76,https://news.kbs.co.kr/data/news/2025/01/22/20250122_3Jck7u.jpg,[Anchor]A large fire broke out at a hotel in a ski...,2025.01.23 (00:15),https://news.kbs.co.kr/news/view.do?ncd=8158787,KBS
