title,thumbnail,short_content,write_time,link,company
"""선거법 위헌여부 가려달라"" 이재명 2심 재판 늦어지나",,이재명 더불어민주당 대표가 공직선거법 위반 사건 항소심을 앞두고 이 사건과 관련한 법 조항의 위헌 여부를 판단해달라며 위헌법률심판 제청을 신청한 것으로 확인됐다. 22일 법조계에 따르면 이 대표는 선거법 사건 재판부인 서울고법 형사6-2부에 공직선거법 250조 1항과 관련해 위헌법률심판 제청 신청서를 냈다. 앞서 이 대표는 공직선거법 위반 관련 1심에서 징..,2시간 전,https://www.mk.co.kr/news/politics/11224983,매일경제
"“尹대통령 진료 몰랐다”더니…공수처, 법무부 지적에 뒤늦게 “연락받았다” 번복",https://static.mk.co.kr/trans_30x13.png,고위공직자범죄수사처(공수처)가 지난 21일 윤석열 대통령의 병원 진료로 강제구인·현장조사 시도가 불발된 것과 관련해 교정당국으로부터 진료 일정에 대한 사전 언질을 받지 못했다고 밝혔다가 법무부의 지적을 받고 뒤늦게 번복했다. 현직 대통령 강제구인이라는 사안의 엄중함에 비춰볼 때 정제되지 않은 언급으로 혼선을 자초했다는 비판을 피하기 어려울 것으로 예상된다.,2시간 전,https://www.mk.co.kr/news/politics/11224978,매일경제
“누르면 핵 말고 다른게 나온다?”…트럼프 책상 위 ‘정체불명 버튼’,https://static.mk.co.kr/trans_30x13.png,"도널드 트럼프가 제47대 미국 대통령으로 취임한 후 주변 환경을 재정비 중인 가운데, 집무실 책상 위에 등장한 정체불명 버튼에 전세계적 관심이 쏠린다. 20일(현지시각) 미국 월스트리트저널(WSJ), 뉴욕포스트 등 외신에 따르면 트럼프 미 대통령 취임식이 열린 시각 백악관에선 긴급 이사가 이뤄졌다. 이날 백악관 직원 수십 명이 퇴임하는 대통령의 집기와 소지",4시간 전,https://www.mk.co.kr/news/politics/11224941,매일경제
"계엄때 담 넘은 국회의장…안중근 의사 영화 ‘하얼빈’ 관람 후 ‘국회 역할 강조’, 이유는",https://static.mk.co.kr/trans_30x13.png,‘12·3 비상계엄 사태’ 당시 국회 진입을 위해 담장을 넘고 계엄 해제 요구 결의안을 처리시키는 등 강한 헌법 수호 의지를 보여준 우원식 국회의장이 선열들이 쌓아 온 역사를 잘 기리기 위해 국회의 역할을 다하겠다는 뜻을 밝혔다. 우 의장은 22일 광복 80주년을 기념해 서울 용산구에서 안중근 의사를 다룬 영화 ‘하얼빈’ 관람 행사에 참석했다. 우 의장은,4시간 전,https://www.mk.co.kr/news/politics/11224933,매일경제
尹대통령 “쪽지 준 적 없다”…외교장관 “직접 받았고 지시사항 있어”,https://static.mk.co.kr/trans_30x13.png,"12·3 비상계엄이 선포됐던 날, 윤석열 대통령이 일부 국무위원에게 쪽지로 지시사항을 전달했다는 의혹에 대해 관련자들의 증언이 엇갈렸다. 22일 조태열 외교부 장관은 국회에서 열린 ‘윤석열 정부의 비상계엄 선포를 통한 내란 혐의 진상규명 국정조사 특별위원회’ 청문회에서 “계엄 선포 당시 대통령이 직접 쪽지를 준 것이 맞나”라는 더불어민주당 백혜련 의원 질문",4시간 전,https://www.mk.co.kr/news/politics/11224932,매일경제
尹이 준 적 없다던 계엄 쪽지…외교장관 “국무회의 앉자마자 받았다”,https://static.mk.co.kr/trans_30x13.png,"내란 국정조사 특위 청문회 한덕수 “당시 상황 기억 안나” 野 주도 尹동행명령장 발부 국힘 “대통령 망신주기 쇼” 공수처, 尹조사 잇단 실패 조기 검찰 이첩 검토 나서더불어민주당이 국회 내란 혐의 국정조사 특별위원회를 무대로 삼아 윤석열 대통령을 향한 공세 수위를 높였다. 증인 불출석을 이유로 동행명령장을 발부한 데 이어 국무위원들에게 ‘12·3 비상",4시간 전,https://www.mk.co.kr/news/politics/11224909,매일경제
"巨野, 상법개정안 물량공세로 당정 압박",https://static.mk.co.kr/trans_30x13.png,더불어민주당이 15개에 달하는 상법 개정안을 무더기로 국회 법제사법위원회에 올려놓고 정부·여당을 압박했다. 재계가 강력히 반대해온 주주에 대한 이사의 충실의무 명기는 기본이고 전자주주총회와 집중투표제 의무화까지 포함하는 개정안을 밀어붙이는 상황이다. 일부 개정안에는 대주주가 다른 주주의 이익을 침해해서는 안 된다거나 임원의 보수가 부적정하게 지급된 경우 이..,4시간 전,https://www.mk.co.kr/news/politics/11224895,매일경제
"서부지법 판사실 습격 40대男, ‘전광훈 교회’ 특임 전도사로 드러나",https://static.mk.co.kr/trans_30x13.png,‘서부지법 난입·폭력 사태’ 당시 판사 집무실이 있는 7층에 침입한 40대 남성이 전광훈 목사가 속한 사랑제일교회의 ‘특임 전도사’였던 것으로 드러났다. 22일 뉴스1에 따르면 서울남부지법 민사합의2-3부(부장판사 송승용 명재권 이민수)는 지난해 5월 30일 위자료 청구 소송 판결문에서 40대 남성 이 모 씨를 사랑제일교회 ‘특임 전도사’라고 밝혔다. 이,5시간 전,https://www.mk.co.kr/news/politics/11224891,매일경제
"“미북대화 재개, 긴장 완화에 나쁠 것 없다”…안보 전문가들 분석 들어보니",https://static.mk.co.kr/trans_30x13.png,"신년기획 외교대변혁 (上) 외교안보 원로들, 트럼프 2.0 미·북 대화 전망 “北핵보유국 발언 과도하게 해석할 필요 없어” “궁극적 비핵화 목표 위해 적극적 美 설득을” “미국이 北핵보유 인정땐 핵 도미노 현상 불가피”도널드 트럼프 미국 대통령이 백악관에 돌아오자마자 북한과의 대화 재개를 시사하면서 한반도 안보지형이 요동치고 있다. 트럼프 대통령은",5시간 전,https://www.mk.co.kr/news/politics/11224888,매일경제
"“김해에는 빨갱이 많다”더니…국민의힘 김해시의원, 결국 공식 사과",https://static.mk.co.kr/trans_30x13.png,‘김해 빨갱이’ 발언으로 파문을 일으킨 경상남도 김해시의원이 22일 공식 사과했다. 경남 김해시의회 운영위원장인 국민의힘 소속 이미애 시의원은 이날 오후 김해시청 프레스센터에서 기자회견을 열었다. 이 의원은 이 자리에서 “지난 19일 창원에서 열린 대통령 탄핵 반대 집회에서 흥분한 시민이 ‘김해 빨갱이 내려와라’라는 말을 외쳐 즉각 화답하며 흥분을 진정시키,5시간 전,https://www.mk.co.kr/news/politics/11224883,매일경제
“시장서 설 음식 장만하니 돈 돌려주네”…직접 차린 차례상 비용 얼만가 보니,https://static.mk.co.kr/trans_30x13.png,"명절 앞두고 전통시장 가보니 4인 기준 차례상 비용 18만원 고물가에 비해 비용 부담 줄어 각종 지원금과 상품권 환급도 정부, 명절 1천억원 예산 집행설을 일주일 앞두고 21일 찾은 충북 청주 육거리 시장. 설음식을 준비하는 손님들로 발디딜 틈이 없다. 한 과일 상인은 “최근 들어 설을 준비하는 고객이 많아졌는데 환급 행사가 시작되면 지금보다 2배가량",3시간 전,https://www.mk.co.kr/news/economy/11224968,매일경제
"“결혼할 결심, 드디어 늘었네”…작년 혼인 건수 코로나 이후 첫 20만건 돌파",https://static.mk.co.kr/trans_30x13.png,11월 출생아 증가폭 14년만에 최대지난해 혼인 건수가 코로나19 이후 4년 만에 20만건을 돌파할 것이 확실시된다. 작년 합계출산율이 9년 만에 반등할 것으로 예상되는 가운데 출산의 선행지표인 혼인도 상승세여서 저출생 해소의 모멘텀이 될 것이라는 전망이 나온다. 22일 통계청 인구동향에 따르면 지난해 11월 혼인 건수는 1만8581건을 기록했다. 1년 전,3시간 전,https://www.mk.co.kr/news/economy/11224966,매일경제
“돈 맡기면 골드바 드려요”…은행 예적금 넣으면 이런 혜택까지 준다는데,https://static.mk.co.kr/trans_30x13.png,연초 대출 빗장 내리며 수신고 늘릴 필요 생겨주요 시중은행들이 연초부터 예·적금 유치전에 돌입했다. 상품에 가입하면 경품을 주거나 현금을 지급하는 식이다. 은행들이 올해 가계대출 문턱을 대폭 낮추면서 더 많은 여신을 내주기 위해 수신 잔액을 넉넉하게 채워놓으려는 것이다. 22일 KB국민은행은 다음달 28일까지 비대면 채널에서 정기예금에 가입한 고객에게 다양,4시간 전,https://www.mk.co.kr/news/economy/11224931,매일경제
“한국 경제는 양발에 쇳덩이 찬 상태다”…새해부터 한숨 섞인 전망 쏟아진 이유,https://static.mk.co.kr/trans_30x13.png,"韓, 과도한 정치 비용에 잠재성장률 지속 하락해 美정부 반사이익 받으면 성장률 전망치 오를수도 외환시장보다 내수 초점둬야정덕구 니어재단 이사장이 22일 서울 중구 대한상공회의소에서 열린 니어재단 ‘2025년 신년경제포럼’에서 “한국 경제는 양발에 정치비용이라는 무거운 쇳덩이를 끌며 여기까지 왔다”며 “과도한 정치비용에 따른 생산성 저하로 잠재성장률이",4시간 전,https://www.mk.co.kr/news/economy/11224925,매일경제
